mutant-id|timeToExecute|0-should create a unique random alphabet with each seed|1-should return the same alphabet with a single seed|2-should shuffle into a 64-character string of unique characters|3-should work with custom alphabets|4-1) should print 10 examples: 2zO9Wlaynzrq4|5-2) should print 10 examples: 3vhyvN8kg2NfZ|6-3) should print 10 examples: _h-OdlZHB2XAX|7-4) should print 10 examples: rtVHFFb8QPv1k|8-5) should print 10 examples: Z5TuS4RxbtAh4|9-6) should print 10 examples: Ug_fMJ_mZqXjG|10-7) should print 10 examples: 3S8b6-AYKoyzC|11-8) should print 10 examples: JFDetUS9dpvna|12-9) should print 10 examples: 7YUl8lMLiqP3n|13-10) should print 10 examples: YAoauHkVbEOdb|14-should find these valid|15-should find these invalid|16-should run a bunch and never get duplicates (160ms)
MUTANT 219|5050ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0
MUTANT 222|1314ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 223|1390ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 224|1232ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 225|1259ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 221|4548ms|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|1|1
MUTANT 220|4619ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 226|4441ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 227|4529ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 229|4129ms|1|1|1|1|0|0|1|0|-1|-1|-1|-1|-1|-1|-1|-1|-1
MUTANT 232|1274ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 233|1178ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 230|4417ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 231|4274ms|1|1|1|1|0|0|1|0|-1|-1|-1|-1|-1|-1|-1|-1|-1
MUTANT 234|1290ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 235|1247ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 237|1349ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 238|1365ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 239|1293ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 236|4625ms|1|1|1|1|0|0|1|0|-1|-1|-1|-1|-1|-1|-1|-1|-1
MUTANT 240|5106ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 241|5214ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 242|5206ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 243|5188ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 246|1346ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 244|5053ms|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|1|1
MUTANT 245|4927ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 247|4240ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 248|4310ms|1|1|1|1|0|0|1|0|-1|-1|-1|-1|-1|-1|-1|-1|-1
MUTANT 249|4508ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 250|3854ms|1|1|1|1|0|0|1|0|-1|-1|-1|-1|-1|-1|-1|-1|-1
MUTANT 251|3309ms|1|1|1|1|0|0|0|0|0|0|0|0|0|0|1|1|1
MUTANT 254|1289ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 255|1361ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 253|4456ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|1|1
MUTANT 252|4480ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|1
MUTANT 256|4554ms|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|1
MUTANT 257|4527ms|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|1
MUTANT 259|4444ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 258|4480ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|1
MUTANT 261|4523ms|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|1|1
MUTANT 260|4588ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|1|1
MUTANT 264|1251ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 262|4586ms|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|1|1
MUTANT 263|4584ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|1
MUTANT 265|4460ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 269|1216ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
