mutant-id|timeToExecute|0-should create a unique random alphabet with each seed|1-should return the same alphabet with a single seed|2-should shuffle into a 64-character string of unique characters|3-should work with custom alphabets|4-1) should print 10 examples: 2zO9Wlaynzrq4|5-2) should print 10 examples: 3vhyvN8kg2NfZ|6-3) should print 10 examples: _h-OdlZHB2XAX|7-4) should print 10 examples: rtVHFFb8QPv1k|8-5) should print 10 examples: Z5TuS4RxbtAh4|9-6) should print 10 examples: Ug_fMJ_mZqXjG|10-7) should print 10 examples: 3S8b6-AYKoyzC|11-8) should print 10 examples: JFDetUS9dpvna|12-9) should print 10 examples: 7YUl8lMLiqP3n|13-10) should print 10 examples: YAoauHkVbEOdb|14-should find these valid|15-should find these invalid|16-should run a bunch and never get duplicates (160ms)
MUTANT 36|4807ms|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 39|4569ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 40|4638ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 41|4522ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 42|4498ms|1|1|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 43|5045ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 44|4964ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 45|4994ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 46|5011ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 49|4274ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 50|4289ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 51|3946ms|0|0|0|0|0|1|1|0|-1|-1|-1|-1|-1|-1|-1|-1|-1
MUTANT 52|3941ms|1|1|0|0|0|1|1|0|-1|-1|-1|-1|-1|-1|-1|-1|-1
MUTANT 53|4444ms|0|0|1|1|0|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1
MUTANT 54|4739ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 58|1274ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 55|4379ms|0|0|1|1|0|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1
MUTANT 59|1167ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 56|4470ms|0|0|0|0|0|1|1|0|-1|-1|-1|-1|-1|-1|-1|-1|-1
MUTANT 61|1301ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 62|1365ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 57|4920ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 63|1280ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 65|1391ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 66|1323ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 60|4603ms|0|0|0|0|0|1|1|0|-1|-1|-1|-1|-1|-1|-1|-1|-1
MUTANT 64|4374ms|0|0|1|1|0|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1
MUTANT 67|4312ms|0|0|1|1|0|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1
MUTANT 68|4319ms|0|0|1|1|0|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1
MUTANT 69|4601ms|0|1|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 70|4625ms|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|1|1
MUTANT 71|4697ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 72|4340ms|1|1|0|1|0|1|1|0|-1|-1|-1|-1|-1|-1|-1|-1|-1
MUTANT 73|4576ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 74|4610ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 75|4663ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 76|4581ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 77|4599ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 78|4582ms|1|1|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 79|4573ms|1|1|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 80|4612ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 81|4727ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 82|4707ms|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 83|4730ms|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 84|4776ms|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 85|4412ms|0|0|0|0|0|1|1|0|-1|-1|-1|-1|-1|-1|-1|-1|-1
MUTANT 86|4491ms|0|0|0|0|0|1|1|0|-1|-1|-1|-1|-1|-1|-1|-1|-1
MUTANT 87|4456ms|0|0|0|0|0|1|1|0|-1|-1|-1|-1|-1|-1|-1|-1|-1
MUTANT 88|4495ms|0|0|0|0|0|1|1|0|-1|-1|-1|-1|-1|-1|-1|-1|-1
MUTANT 89|4941ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 90|4850ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 92|4787ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 93|4618ms|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 94|4396ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 95|4431ms|0|1|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 96|4411ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 98|1259ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 99|1294ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 97|4326ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 100|4276ms|1|1|0|0|0|1|1|0|-1|-1|-1|-1|-1|-1|-1|-1|-1
MUTANT 101|4315ms|0|0|1|1|0|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1
MUTANT 104|1258ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 102|4573ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 103|4346ms|0|0|0|0|0|1|1|0|-1|-1|-1|-1|-1|-1|-1|-1|-1
MUTANT 105|4551ms|0|0|0|1|1|1|1|1|1|1|1|1|1|1|0|1|1
MUTANT 106|4534ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 107|4675ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 108|4652ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 109|4903ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 110|4833ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 111|4695ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 112|4747ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 114|4569ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 113|4654ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 115|4647ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 116|4872ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 118|4577ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 117|4712ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 119|4672ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 120|4534ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 122|3960ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 121|5078ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 124|5209ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 123|5708ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 125|4620ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 126|4556ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 127|4516ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 128|4031ms|1|1|1|1|0|0|0|0|0|0|0|0|0|0|1|1|0
MUTANT 129|3689ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 130|3667ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 132|4484ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 131|4741ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 133|4447ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 134|4695ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 135|4590ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 136|4470ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 137|4441ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 140|2629ms|1|1|1|1|0|0|0|0|0|0|0|0|0|0|1|1|1
MUTANT 139|3260ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 138|5176ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0
MUTANT 141|4638ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 143|4423ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 142|5287ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0
MUTANT 144|4411ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 145|4770ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 146|4603ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 148|3675ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 147|4499ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 151|1434ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 152|1408ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 149|3713ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 150|3746ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 158|1400ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
