mutant-id|timeToExecute|0-should create a unique random alphabet with each seed|1-should return the same alphabet with a single seed|2-should shuffle into a 64-character string of unique characters|3-should work with custom alphabets|4-1) should print 10 examples: 3x3Dh-WPZqRVT|5-2) should print 10 examples: Df5Ut7wsumyqK|6-3) should print 10 examples: BKo5mmIx_fIp3|7-4) should print 10 examples: G7d4QFBRXH41S|8-5) should print 10 examples: FO1EoSZZjBM3c|9-6) should print 10 examples: 7U_uOXRl5eK-N|10-7) should print 10 examples: 0ADMsxX3Es8KG|11-8) should print 10 examples: alde56q579tsB|12-9) should print 10 examples: 4toY61MDXJwFY|13-10) should print 10 examples: aMMMaja8pG7TH|14-should find these valid|15-should find these invalid|16-should run a bunch and never get duplicates (133ms)
MUTANT 98|1270ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 99|1225ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 97|4331ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 100|4168ms|1|1|0|0|0|1|1|0|-1|-1|-1|-1|-1|-1|-1|-1|-1
MUTANT 101|4109ms|0|0|1|1|0|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1
MUTANT 104|1709ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 102|4927ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 103|4470ms|0|0|0|0|0|1|1|0|-1|-1|-1|-1|-1|-1|-1|-1|-1
MUTANT 105|4891ms|0|0|0|1|1|1|1|1|1|1|1|1|1|1|0|1|1
MUTANT 106|4475ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 107|4506ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 108|4414ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 109|4534ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 110|4572ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 111|4541ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 112|4521ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 113|4458ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 114|4555ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 115|4561ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 116|4546ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 117|4599ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 118|4513ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 119|4486ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 120|4193ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 122|3505ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 121|4438ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 124|4678ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 123|5087ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 125|4530ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 126|4544ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 128|3989ms|1|1|1|1|0|0|0|0|0|0|0|0|0|0|1|1|0
MUTANT 127|4473ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 129|3618ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 130|3690ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 132|4562ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 131|4791ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 133|4491ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 134|4758ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 135|4598ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 136|4587ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 137|4441ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
