mutant-id|timeToExecute|0-should create a unique random alphabet with each seed|1-should return the same alphabet with a single seed|2-should shuffle into a 64-character string of unique characters|3-should work with custom alphabets|4-1) should print 10 examples: ByMj3aXYt|5-2) should print 10 examples: B1xfi2aXtY|6-3) should print 10 examples: By-fsnpQFt|7-4) should print 10 examples: rkGzjhp7Ft|8-5) should print 10 examples: ByXzinp7FK|9-6) should print 10 examples: r14zs2aQtt|10-7) should print 10 examples: HJHzi367Yt|11-8) should print 10 examples: S1IMo2p7Kt|12-9) should print 10 examples: SkDMo2pXYK|13-10) should print 10 examples: HkdGina7tF|14-should find these valid|15-should find these invalid|16-should run a bunch and never get duplicates (155ms)|17-should decode worker
MUTANT 61|1293ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 62|1320ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 63|1518ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 64|1547ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 65|1483ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 66|1556ms|0|0|1|1|0|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1
MUTANT 67|1503ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 68|1993ms|0|1|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 69|1888ms|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|1|1|1
MUTANT 71|1570ms|1|1|0|1|0|0|0|0|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1
MUTANT 70|1954ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 72|1972ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 73|1932ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 74|1979ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 75|2060ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 76|1623ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 77|2020ms|1|1|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 78|2139ms|1|1|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 79|2047ms|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|1|1
MUTANT 80|2162ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 81|2058ms|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 83|1515ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 82|2064ms|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 84|1527ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 85|1553ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 86|1478ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 87|1480ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 88|2172ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 91|1491ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 89|2029ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 93|1416ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 94|1554ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 92|2728ms|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0
