mutant-id|timeToExecute|0-should create a unique random alphabet with each seed|1-should return the same alphabet with a single seed|2-should shuffle into a 64-character string of unique characters|3-should work with custom alphabets|4-1) should print 10 examples: gayVwe_SSWzOW|5-2) should print 10 examples: lAGAMJbX6P_B5|6-3) should print 10 examples: 28MVS0Bg1ilbO|7-4) should print 10 examples: RCGL4Aj5uTTXr|8-5) should print 10 examples: 06iFr1jvrXLRu|9-6) should print 10 examples: mBDBAX9rwjA_b|10-7) should print 10 examples: GuoHYx8MKvOaP|11-8) should print 10 examples: _yoR9-9pBkDeE|12-9) should print 10 examples: FYGqN9B_X9VxU|13-10) should print 10 examples: iAudgh0l85fg5|14-should find these valid|15-should find these invalid|16-should run a bunch and never get duplicates (111ms)
MUTANT 246|3148ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 247|3251ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 251|1380ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 248|3432ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 249|3192ms|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|1|1
MUTANT 250|3297ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 252|2864ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 253|2870ms|1|1|1|1|0|0|1|0|-1|-1|-1|-1|-1|-1|-1|-1|-1
MUTANT 255|2516ms|1|1|1|1|0|0|1|0|-1|-1|-1|-1|-1|-1|-1|-1|-1
MUTANT 254|2734ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 256|2057ms|1|1|1|1|0|0|0|0|0|0|0|0|0|0|1|1|1
MUTANT 259|1301ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 260|1405ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 258|3059ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|1|1
MUTANT 257|3093ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|1
MUTANT 261|3233ms|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|1
MUTANT 262|3247ms|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|1
MUTANT 263|3206ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|1
MUTANT 264|3251ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 265|3211ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|1|1
MUTANT 266|3256ms|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|1|1
MUTANT 269|1349ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 267|3249ms|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|1|1
MUTANT 268|3309ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|1
MUTANT 270|3293ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 271|3255ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|1|1
MUTANT 274|1379ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 272|3292ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|1
MUTANT 273|3324ms|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|1
MUTANT 275|3272ms|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|1
MUTANT 276|3182ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|1
MUTANT 277|3224ms|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|1
MUTANT 278|3274ms|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|1|1
MUTANT 282|1411ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 279|3351ms|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|1|1
MUTANT 280|3345ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|1
MUTANT 281|3358ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|1
MUTANT 283|3172ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|1|1
MUTANT 284|2562ms|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|1
MUTANT 285|2481ms|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|1
MUTANT 287|3096ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 288|3174ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 290|2983ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 291|3114ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 292|3304ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 293|3224ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 294|3256ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 295|3235ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 296|3249ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 297|3233ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 299|3191ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 298|3280ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 300|3206ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 301|3246ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 302|3289ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 303|3309ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 304|3206ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 306|3102ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 307|3126ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 308|3160ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 310|1358ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 311|1308ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 309|3052ms|0|0|1|1|0|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1
MUTANT 312|3231ms|0|0|1|1|0|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1
MUTANT 313|3326ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 314|3204ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 315|3159ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 316|2492ms|0|0|0|0|0|1|1|0|-1|-1|-1|-1|-1|-1|-1|-1|-1
MUTANT 317|2267ms|0|0|1|1|0|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1
MUTANT 318|2373ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 319|2372ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 320|2420ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 323|2960ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0
MUTANT 321|3064ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 322|3092ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 324|3155ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 328|1362ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 325|3150ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 326|3204ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 327|3249ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 331|1338ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 332|1323ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 329|3178ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 330|2413ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
