mutant-id|timeToExecute|0-should create a unique random alphabet with each seed|1-should return the same alphabet with a single seed|2-should shuffle into a 64-character string of unique characters|3-should work with custom alphabets|4-1) should print 10 examples: gayVwe_SSWzOW|5-2) should print 10 examples: lAGAMJbX6P_B5|6-3) should print 10 examples: 28MVS0Bg1ilbO|7-4) should print 10 examples: RCGL4Aj5uTTXr|8-5) should print 10 examples: 06iFr1jvrXLRu|9-6) should print 10 examples: mBDBAX9rwjA_b|10-7) should print 10 examples: GuoHYx8MKvOaP|11-8) should print 10 examples: _yoR9-9pBkDeE|12-9) should print 10 examples: FYGqN9B_X9VxU|13-10) should print 10 examples: iAudgh0l85fg5|14-should find these valid|15-should find these invalid|16-should run a bunch and never get duplicates (111ms)
MUTANT 57|3342ms|1|1|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 60|3026ms|0|0|0|0|0|1|1|0|-1|-1|-1|-1|-1|-1|-1|-1|-1
MUTANT 63|1336ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 65|1376ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 66|1430ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 68|1386ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 64|3011ms|0|0|1|1|0|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1
MUTANT 67|2956ms|0|0|1|1|0|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1
MUTANT 70|1286ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 72|1318ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 69|3137ms|0|1|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 71|3163ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 73|3152ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 74|3233ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 75|3215ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 76|3204ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 79|1351ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 77|3269ms|1|1|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 80|1501ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 78|3344ms|1|1|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 81|3285ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 82|3244ms|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 83|3251ms|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 84|3156ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 85|2932ms|0|0|0|0|0|1|1|0|-1|-1|-1|-1|-1|-1|-1|-1|-1
MUTANT 86|2974ms|0|0|0|0|0|1|1|0|-1|-1|-1|-1|-1|-1|-1|-1|-1
MUTANT 87|3038ms|0|0|0|0|0|1|1|0|-1|-1|-1|-1|-1|-1|-1|-1|-1
MUTANT 88|2920ms|0|0|0|0|0|1|1|0|-1|-1|-1|-1|-1|-1|-1|-1|-1
MUTANT 89|3166ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 90|3132ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 92|3016ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 93|2943ms|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 94|2971ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 95|3034ms|0|1|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 96|3035ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 97|3039ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 98|3119ms|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|1
MUTANT 100|1449ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 99|3371ms|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|1
MUTANT 101|3132ms|0|0|1|1|0|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1
MUTANT 103|2946ms|0|0|0|0|0|1|1|0|-1|-1|-1|-1|-1|-1|-1|-1|-1
MUTANT 104|1384ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 102|3279ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 105|3194ms|0|0|0|1|1|1|1|1|1|1|1|1|1|1|0|1|1
MUTANT 106|3125ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 107|3159ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 108|3141ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 109|3357ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 111|3232ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 110|3345ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 112|3336ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 113|3339ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 114|3285ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 115|3350ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 116|3223ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 117|3263ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 118|3249ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 119|3240ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 120|3187ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 122|2731ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 124|3094ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 121|3187ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 123|3288ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 125|3192ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 128|2694ms|1|1|1|1|0|0|0|0|0|0|0|0|0|0|1|1|0
MUTANT 127|3109ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 126|3208ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 129|2796ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 130|2819ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 131|3236ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 132|3303ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 133|3236ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 134|3234ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 135|3159ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 136|3333ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 137|3065ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 138|3003ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0
MUTANT 139|3074ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 140|2942ms|1|1|1|1|0|0|0|0|0|0|0|0|0|0|1|1|1
MUTANT 142|3068ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0
MUTANT 141|3265ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 143|3161ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 144|3139ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 145|3090ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
