mutant-id|timeToExecute|0-should create a unique random alphabet with each seed|1-should return the same alphabet with a single seed|2-should shuffle into a 64-character string of unique characters|3-should work with custom alphabets|4-1) should print 10 examples: FrKbkIGrdbNCx|5-2) should print 10 examples: cZmMrTA4m6_x-|6-3) should print 10 examples: wEVNUFzvTYzki|7-4) should print 10 examples: shssIMR0F9zQh|8-5) should print 10 examples: p-dylfAo_BW3-|9-6) should print 10 examples: n2LvdS61jzwYm|10-7) should print 10 examples: NwwL_26A82p28|11-8) should print 10 examples: UQR3nfKTvKwu5|12-9) should print 10 examples: VnYSR2RtjtCsR|13-10) should print 10 examples: WFtQi0bwgC-rv|14-should find these valid|15-should find these invalid|16-should run a bunch and never get duplicates (132ms)
MUTANT 246|1345ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 244|4702ms|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|1|1
MUTANT 245|4711ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 247|4357ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 248|4244ms|1|1|1|1|0|0|1|0|-1|-1|-1|-1|-1|-1|-1|-1|-1
MUTANT 249|4338ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 250|3921ms|1|1|1|1|0|0|1|0|-1|-1|-1|-1|-1|-1|-1|-1|-1
MUTANT 251|3270ms|1|1|1|1|0|0|0|0|0|0|0|0|0|0|1|1|1
MUTANT 254|1264ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 255|1270ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 252|4406ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|1
MUTANT 253|4510ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|1|1
MUTANT 257|4376ms|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|1
MUTANT 256|4498ms|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|1
MUTANT 258|4537ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|1
MUTANT 259|4503ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 260|4555ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|1|1
MUTANT 261|4590ms|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|1|1
MUTANT 264|1365ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 262|4562ms|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|1|1
MUTANT 263|4693ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|1
MUTANT 265|4547ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 266|4554ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|1|1
MUTANT 269|1303ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 267|4663ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|1
MUTANT 268|4592ms|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|1
MUTANT 270|4511ms|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|1
MUTANT 271|4507ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|1
MUTANT 272|4547ms|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|1
MUTANT 273|4590ms|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|1|1
MUTANT 277|1287ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 274|4672ms|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|1|1
MUTANT 275|4730ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|1
MUTANT 276|4729ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|1
MUTANT 278|4398ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|1|1
MUTANT 279|3958ms|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|1
MUTANT 280|3912ms|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|1
MUTANT 284|4344ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 282|4426ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 281|4437ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 283|4496ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 285|4503ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
