mutant-id|timeToExecute|0-nodeRNG|1-mathRNG|2-cryptoRNG|3-sha1 node|4-sha1 browser|5-md5 node|6-md5 browser|7-v3|8-v5|9-uuids with current time|10-uuids with time option|11-msec|12-exception thrown when > 10k ids created in 1ms|13-clock regression by msec|14-clock regression by nsec|15-explicit options product expected id|16-ids spanning 1ms boundary are 100ns apart
MUTANT 1|1318ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 3|1373ms|1|1|1|1|1|1|1|0|0|1|1|1|1|0|0|0|0
MUTANT 4|1507ms|1|1|1|1|1|1|1|0|0|1|1|1|1|0|0|0|0
MUTANT 5|1292ms|1|1|1|1|1|1|1|0|0|1|1|1|1|0|0|0|0
MUTANT 6|1303ms|1|1|1|1|1|1|1|0|0|1|1|1|1|0|0|0|1
MUTANT 7|1240ms|1|1|1|1|1|1|1|0|0|1|1|1|1|0|0|0|1
MUTANT 8|1154ms|1|1|1|1|1|1|1|0|0|1|1|1|1|0|0|0|1
MUTANT 9|1084ms|1|1|1|1|1|1|1|0|0|1|1|1|1|0|0|0|1
MUTANT 10|1088ms|1|1|1|1|1|1|1|0|0|1|1|1|1|0|0|0|1
MUTANT 11|1224ms|1|1|1|1|1|1|1|0|0|1|1|1|1|0|0|0|1
MUTANT 12|1221ms|1|1|1|1|1|1|1|0|0|1|1|1|1|1|1|0|1
MUTANT 13|1292ms|1|1|1|1|1|1|1|0|0|1|1|1|1|1|1|0|1
MUTANT 14|1229ms|1|1|1|1|1|1|1|0|0|1|1|1|1|1|1|0|1
MUTANT 16|1196ms|1|1|1|1|1|1|1|0|0|1|1|1|1|1|1|0|1
MUTANT 15|1237ms|1|1|1|1|1|1|1|0|0|1|1|1|1|1|1|0|1
MUTANT 17|1242ms|1|1|1|1|1|1|1|0|0|1|1|1|1|1|1|0|1
MUTANT 18|1196ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 19|1167ms|1|1|1|1|1|1|1|0|0|1|1|1|1|0|0|0|0
MUTANT 20|1302ms|1|1|1|1|1|1|1|0|0|1|1|1|1|1|1|0|0
MUTANT 21|1214ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 22|1262ms|1|1|1|1|1|1|1|0|0|1|1|1|1|1|1|0|0
MUTANT 23|1216ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 24|1239ms|1|1|1|1|1|1|1|0|0|1|1|1|1|1|1|0|0
MUTANT 25|1166ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 26|1185ms|1|1|1|1|1|1|1|0|0|1|1|1|1|1|1|0|0
MUTANT 27|1221ms|1|1|1|1|1|1|1|0|0|1|1|1|1|1|1|0|0
MUTANT 28|1203ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 29|1295ms|1|1|1|1|1|1|1|0|0|1|1|1|1|1|1|0|0
MUTANT 30|1180ms|1|1|1|1|1|1|1|0|0|1|1|1|1|1|1|0|0
MUTANT 31|1233ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 32|1218ms|1|1|1|1|1|1|1|0|0|1|1|1|1|1|1|0|0
MUTANT 33|1249ms|1|1|1|1|1|1|1|0|0|1|1|1|1|1|1|0|0
