mutant-id|timeToExecute|0-nodeRNG|1-mathRNG|2-cryptoRNG|3-sha1 node|4-sha1 browser|5-md5 node|6-md5 browser|7-v3|8-v5|9-uuids with current time|10-uuids with time option|11-msec|12-exception thrown when > 10k ids created in 1ms|13-clock regression by msec|14-clock regression by nsec|15-explicit options product expected id|16-ids spanning 1ms boundary are 100ns apart
MUTANT 3|1310ms|1|1|1|1|1|1|1|0|0|1|1|1|1|0|0|0|0
MUTANT 4|1369ms|1|1|1|1|1|1|1|0|0|1|1|1|1|0|0|0|0
MUTANT 1|1695ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 5|1358ms|1|1|1|1|1|1|1|0|0|1|1|1|1|0|0|0|0
MUTANT 6|1315ms|1|1|1|1|1|1|1|0|0|1|1|1|1|0|0|0|1
MUTANT 7|1254ms|1|1|1|1|1|1|1|0|0|1|1|1|1|0|0|0|1
MUTANT 8|1090ms|1|1|1|1|1|1|1|0|0|1|1|1|1|0|0|0|1
MUTANT 9|1131ms|1|1|1|1|1|1|1|0|0|1|1|1|1|0|0|0|1
MUTANT 10|1173ms|1|1|1|1|1|1|1|0|0|1|1|1|1|0|0|0|1
MUTANT 11|1240ms|1|1|1|1|1|1|1|0|0|1|1|1|1|0|0|0|1
MUTANT 12|1272ms|1|1|1|1|1|1|1|0|0|1|1|1|1|1|1|0|1
MUTANT 13|1282ms|1|1|1|1|1|1|1|0|0|1|1|1|1|1|1|0|1
MUTANT 14|1198ms|1|1|1|1|1|1|1|0|0|1|1|1|1|1|1|0|1
MUTANT 15|1170ms|1|1|1|1|1|1|1|0|0|1|1|1|1|1|1|0|1
MUTANT 16|1169ms|1|1|1|1|1|1|1|0|0|1|1|1|1|1|1|0|1
MUTANT 17|1227ms|1|1|1|1|1|1|1|0|0|1|1|1|1|1|1|0|1
MUTANT 18|1232ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 19|1254ms|1|1|1|1|1|1|1|0|0|1|1|1|1|0|0|0|0
MUTANT 20|1240ms|1|1|1|1|1|1|1|0|0|1|1|0|1|0|0|0|0
MUTANT 21|1239ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 22|1249ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 24|1155ms|1|1|1|1|1|1|1|0|0|1|1|0|1|0|0|0|0
MUTANT 23|1250ms|1|1|1|1|1|1|1|0|0|1|1|0|1|0|0|0|0
MUTANT 25|1247ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 26|1225ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 28|1182ms|1|1|1|1|1|1|1|0|0|1|1|1|1|0|0|0|0
MUTANT 27|1467ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 29|1231ms|1|1|1|1|1|1|1|0|0|1|1|1|1|1|1|0|1
MUTANT 30|1235ms|1|1|1|1|1|1|1|0|0|1|1|1|1|1|1|0|1
