mutant-id|timeToExecute|0-nodeRNG|1-mathRNG|2-cryptoRNG|3-sha1 node|4-sha1 browser|5-md5 node|6-md5 browser|7-v3|8-v5|9-uuids with current time|10-uuids with time option|11-msec|12-exception thrown when > 10k ids created in 1ms|13-clock regression by msec|14-clock regression by nsec|15-explicit options product expected id|16-ids spanning 1ms boundary are 100ns apart
MUTANT 1|1359ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 3|1388ms|1|1|1|1|1|1|1|0|0|1|1|1|1|0|0|0|0
MUTANT 4|1788ms|1|1|1|1|1|1|1|0|0|1|1|1|1|0|0|0|0
MUTANT 5|1279ms|1|1|1|1|1|1|1|0|0|1|1|1|1|0|0|0|0
MUTANT 6|1277ms|1|1|1|1|1|1|1|0|0|1|1|1|1|0|0|0|1
MUTANT 7|1252ms|1|1|1|1|1|1|1|0|0|1|1|1|1|0|0|0|1
MUTANT 8|1101ms|1|1|1|1|1|1|1|0|0|1|1|1|1|0|0|0|1
MUTANT 9|1098ms|1|1|1|1|1|1|1|0|0|1|1|1|1|0|0|0|1
MUTANT 10|1248ms|1|1|1|1|1|1|1|0|0|1|1|1|1|0|0|0|1
MUTANT 11|1216ms|1|1|1|1|1|1|1|0|0|1|1|1|1|0|0|0|1
MUTANT 12|1205ms|1|1|1|1|1|1|1|0|0|1|1|1|1|1|1|0|1
MUTANT 13|1291ms|1|1|1|1|1|1|1|0|0|1|1|1|1|1|1|0|1
MUTANT 14|1199ms|1|1|1|1|1|1|1|0|0|1|1|1|1|1|1|0|1
MUTANT 16|1212ms|1|1|1|1|1|1|1|0|0|1|1|1|1|1|1|0|1
MUTANT 15|1278ms|1|1|1|1|1|1|1|0|0|1|1|1|1|1|1|0|1
MUTANT 17|1240ms|1|1|1|1|1|1|1|0|0|1|1|1|1|1|1|0|1
MUTANT 18|1190ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 19|1169ms|1|1|1|1|1|1|1|0|0|1|1|1|1|0|0|0|0
MUTANT 20|1250ms|1|1|1|1|1|1|1|0|0|1|1|0|1|0|0|0|0
MUTANT 21|1195ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 22|1205ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 23|1244ms|1|1|1|1|1|1|1|0|0|1|1|0|1|0|0|0|0
MUTANT 24|1212ms|1|1|1|1|1|1|1|0|0|1|1|0|1|0|0|0|0
MUTANT 25|1211ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 26|1288ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 28|1235ms|1|1|1|1|1|1|1|0|0|1|1|1|1|1|1|0|0
MUTANT 27|1426ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 29|1267ms|1|1|1|1|1|1|1|0|0|1|1|1|1|1|1|0|1
MUTANT 30|1206ms|1|1|1|1|1|1|1|0|0|1|1|1|1|0|1|0|1
MUTANT 31|1246ms|1|1|1|1|1|1|1|0|0|1|1|1|1|1|1|0|0
MUTANT 32|1222ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 33|1174ms|1|1|1|1|1|1|1|0|0|1|1|1|1|1|1|0|1
MUTANT 34|1219ms|1|1|1|1|1|1|1|0|0|1|1|1|1|1|1|0|1
MUTANT 35|1193ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 36|1168ms|1|1|1|1|1|1|1|0|0|1|1|1|1|1|1|0|1
MUTANT 37|1210ms|1|1|1|1|1|1|1|0|0|1|1|1|1|1|1|0|0
MUTANT 38|1249ms|1|1|1|1|1|1|1|0|0|1|1|0|1|0|0|0|0
MUTANT 39|1190ms|1|1|1|1|1|1|1|0|0|1|1|1|1|0|0|0|0
MUTANT 40|1266ms|1|1|1|1|1|1|1|0|0|1|1|1|1|0|0|0|0
MUTANT 41|1248ms|1|1|1|1|1|1|1|0|0|1|1|0|1|0|0|0|0
MUTANT 42|1230ms|1|1|1|1|1|1|1|0|0|1|1|1|1|0|0|0|0
MUTANT 43|1250ms|1|1|1|1|1|1|1|0|0|1|1|1|1|0|0|0|0
MUTANT 44|1239ms|1|1|1|1|1|1|1|0|0|1|1|1|1|0|0|0|0
MUTANT 45|1221ms|1|1|1|1|1|1|1|0|0|1|1|1|1|0|0|0|0
MUTANT 46|1230ms|1|1|1|1|1|1|1|0|0|1|1|1|1|0|0|0|0
MUTANT 47|1199ms|1|1|1|1|1|1|1|0|0|1|1|1|1|0|0|0|1
MUTANT 48|1250ms|1|1|1|1|1|1|1|0|0|1|1|1|1|0|0|0|1
MUTANT 49|1223ms|1|1|1|1|1|1|1|0|0|1|1|1|1|0|0|0|1
MUTANT 50|1262ms|1|1|1|1|1|1|1|0|0|1|1|1|1|0|0|0|1
MUTANT 51|1285ms|1|1|1|1|1|1|1|0|0|1|1|1|1|0|0|0|1
MUTANT 52|1255ms|1|1|1|1|1|1|1|0|0|1|1|1|1|0|0|0|1
MUTANT 53|1404ms|1|1|1|1|1|1|1|0|0|1|1|1|1|0|0|0|1
MUTANT 54|1399ms|1|1|1|1|1|1|1|0|0|1|1|1|1|0|0|0|1
MUTANT 55|1505ms|1|1|1|1|1|1|1|0|0|1|1|1|1|0|0|0|1
MUTANT 56|1445ms|1|1|1|1|1|1|1|0|0|1|1|1|1|1|1|0|1
MUTANT 57|1526ms|1|1|1|1|1|1|1|0|0|1|1|1|1|1|1|0|1
MUTANT 58|1438ms|1|1|1|1|1|1|1|0|0|1|1|1|1|1|1|0|1
MUTANT 59|1418ms|1|1|1|1|1|1|1|0|0|1|1|1|1|1|1|0|1
MUTANT 60|1430ms|1|1|1|1|1|1|1|0|0|1|1|1|1|1|1|0|1
MUTANT 62|1324ms|1|1|1|1|1|1|1|0|0|1|1|1|1|1|1|0|1
MUTANT 61|1392ms|1|1|1|1|1|1|1|0|0|1|1|1|1|1|1|0|1
MUTANT 63|1373ms|1|1|1|1|1|1|1|0|0|1|1|1|1|1|1|0|1
MUTANT 64|1413ms|1|1|1|1|1|1|1|0|0|1|1|1|1|0|0|0|0
MUTANT 66|1253ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 65|1269ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 67|1343ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 68|1370ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 69|1385ms|1|1|1|1|1|1|1|0|0|1|1|0|1|0|0|0|0
MUTANT 70|1414ms|1|1|1|1|1|1|1|0|0|1|1|0|1|0|0|0|0
MUTANT 71|1414ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 72|1358ms|1|1|1|1|1|1|1|0|0|1|1|1|1|0|0|0|0
MUTANT 73|1325ms|1|1|1|1|1|1|1|0|0|1|1|1|1|0|0|0|0
MUTANT 74|1375ms|1|1|1|1|1|1|1|0|0|1|1|1|1|0|0|0|1
MUTANT 75|1376ms|1|1|1|1|1|1|1|0|0|1|1|1|1|0|0|0|1
MUTANT 76|1419ms|1|1|1|1|1|1|1|0|0|1|1|1|1|0|0|0|1
MUTANT 77|1368ms|1|1|1|1|1|1|1|0|0|1|1|1|1|0|0|0|1
MUTANT 78|1336ms|1|1|1|1|1|1|1|0|0|1|1|1|1|0|0|0|1
MUTANT 79|1160ms|1|1|1|1|1|1|1|0|0|1|1|1|1|1|1|0|1
MUTANT 80|1138ms|1|1|1|1|1|1|1|0|0|1|1|1|1|0|0|0|0
MUTANT 81|1330ms|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1
MUTANT 82|1336ms|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1
MUTANT 83|1403ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
