mutant-id|timeToExecute|0-nodeRNG|1-mathRNG|2-cryptoRNG|3-sha1 node|4-sha1 browser|5-md5 node|6-md5 browser|7-v3|8-v5|9-uuids with current time|10-uuids with time option|11-msec|12-exception thrown when > 10k ids created in 1ms|13-clock regression by msec|14-clock regression by nsec|15-explicit options product expected id|16-ids spanning 1ms boundary are 100ns apart
MUTANT 4|1281ms|1|1|1|1|1|1|1|0|0|1|1|1|1|0|0|0|0
MUTANT 1|1326ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 3|1321ms|1|1|1|1|1|1|1|0|0|1|1|1|1|0|0|0|0
MUTANT 6|1278ms|1|1|1|1|1|1|1|0|0|1|1|1|1|0|0|0|1
MUTANT 5|1362ms|1|1|1|1|1|1|1|0|0|1|1|1|1|0|0|0|0
MUTANT 7|1411ms|1|1|1|1|1|1|1|0|0|1|1|1|1|0|0|0|1
MUTANT 8|1129ms|1|1|1|1|1|1|1|0|0|1|1|1|1|0|0|0|1
MUTANT 9|1083ms|1|1|1|1|1|1|1|0|0|1|1|1|1|0|0|0|1
MUTANT 10|1135ms|1|1|1|1|1|1|1|0|0|1|1|1|1|0|0|0|1
MUTANT 12|1195ms|1|1|1|1|1|1|1|0|0|1|1|1|1|1|1|0|1
MUTANT 11|1223ms|1|1|1|1|1|1|1|0|0|1|1|1|1|0|0|0|1
MUTANT 13|1243ms|1|1|1|1|1|1|1|0|0|1|1|1|1|1|1|0|1
MUTANT 14|1242ms|1|1|1|1|1|1|1|0|0|1|1|1|1|1|1|0|1
MUTANT 16|1168ms|1|1|1|1|1|1|1|0|0|1|1|1|1|1|1|0|1
MUTANT 15|1241ms|1|1|1|1|1|1|1|0|0|1|1|1|1|1|1|0|1
MUTANT 17|1232ms|1|1|1|1|1|1|1|0|0|1|1|1|1|1|1|0|1
MUTANT 18|1193ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 19|1129ms|1|1|1|1|1|1|1|0|0|1|1|1|1|0|0|0|0
