mutant-id|timeToExecute|0-nodeRNG|1-mathRNG|2-cryptoRNG|3-sha1 node|4-sha1 browser|5-md5 node|6-md5 browser|7-v3|8-v5|9-uuids with current time|10-uuids with time option|11-msec|12-exception thrown when > 10k ids created in 1ms|13-clock regression by msec|14-clock regression by nsec|15-explicit options product expected id|16-ids spanning 1ms boundary are 100ns apart
MUTANT 1|1405ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 3|1413ms|1|1|1|1|1|1|1|0|0|1|1|1|1|0|0|0|0
MUTANT 4|1504ms|1|1|1|1|1|1|1|0|0|1|1|1|1|0|0|0|0
MUTANT 5|1274ms|1|1|1|1|1|1|1|0|0|1|1|1|1|0|0|0|0
MUTANT 6|1367ms|1|1|1|1|1|1|1|0|0|1|1|1|1|0|0|0|1
MUTANT 7|1326ms|1|1|1|1|1|1|1|0|0|1|1|1|1|0|0|0|1
MUTANT 8|1137ms|1|1|1|1|1|1|1|0|0|1|1|1|1|0|0|0|1
MUTANT 9|1100ms|1|1|1|1|1|1|1|0|0|1|1|1|1|0|0|0|1
MUTANT 10|1190ms|1|1|1|1|1|1|1|0|0|1|1|1|1|0|0|0|1
MUTANT 12|1254ms|1|1|1|1|1|1|1|0|0|1|1|1|1|1|1|0|1
MUTANT 11|1327ms|1|1|1|1|1|1|1|0|0|1|1|1|1|0|0|0|1
MUTANT 13|1315ms|1|1|1|1|1|1|1|0|0|1|1|1|1|1|1|0|1
MUTANT 14|1217ms|1|1|1|1|1|1|1|0|0|1|1|1|1|1|1|0|1
MUTANT 15|1202ms|1|1|1|1|1|1|1|0|0|1|1|1|1|1|1|0|1
MUTANT 16|1223ms|1|1|1|1|1|1|1|0|0|1|1|1|1|1|1|0|1
MUTANT 17|1216ms|1|1|1|1|1|1|1|0|0|1|1|1|1|1|1|0|1
MUTANT 18|1251ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 20|1194ms|1|1|1|1|1|1|1|0|0|1|1|1|1|1|1|0|0
MUTANT 19|1237ms|1|1|1|1|1|1|1|0|0|1|1|1|1|0|0|0|0
MUTANT 21|1187ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 22|1259ms|1|1|1|1|1|1|1|0|0|1|1|1|1|1|1|0|0
MUTANT 23|1171ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 24|1165ms|1|1|1|1|1|1|1|0|0|1|1|1|1|1|1|0|0
