mutant-id|timeToExecute|0-passes a basic sanity check|1-allows namespaces to be a non-string value|2-honors global debug namespace enable calls|3-uses custom log function|4-should extend namespace|5-should extend namespace with custom delimiter|6-should extend namespace with empty delimiter
MUTANT 3|1602ms|1|1|1|1|1|1|1
MUTANT 2|1650ms|1|1|1|1|1|1|1
MUTANT 1|1771ms|1|1|1|1|1|1|1
MUTANT 4|1876ms|1|1|1|1|1|1|1
MUTANT 5|1439ms|1|1|1|1|1|1|1
MUTANT 6|1434ms|1|1|1|1|1|1|1
MUTANT 7|1424ms|1|1|1|1|1|1|1
MUTANT 8|1418ms|1|1|1|1|1|1|1
MUTANT 9|1334ms|1|1|1|1|1|1|1
MUTANT 10|1377ms|1|1|1|1|1|1|1
MUTANT 11|1440ms|1|1|1|1|1|1|1
MUTANT 12|1413ms|1|1|1|1|1|1|1
MUTANT 13|1424ms|1|1|1|1|1|1|1
MUTANT 14|1466ms|1|1|1|1|1|1|1
MUTANT 15|1436ms|1|1|1|1|1|1|1
MUTANT 16|1445ms|1|1|1|1|1|1|1
MUTANT 17|1647ms|1|1|1|1|1|1|1
MUTANT 18|1639ms|1|1|1|1|1|1|1
MUTANT 19|1618ms|1|1|1|1|1|1|1
MUTANT 20|1601ms|1|1|1|1|1|1|1
MUTANT 21|1402ms|1|1|1|1|1|1|1
MUTANT 22|1431ms|1|1|1|1|1|1|1
MUTANT 24|1349ms|1|1|1|1|1|1|1
MUTANT 23|1474ms|1|1|1|1|1|1|1
MUTANT 25|1380ms|1|1|1|1|1|1|1
MUTANT 26|1433ms|1|1|1|1|1|1|1
MUTANT 27|1359ms|1|1|1|1|1|1|1
MUTANT 28|1336ms|1|1|1|1|1|1|1
MUTANT 29|1541ms|1|1|1|1|1|1|1
MUTANT 30|1533ms|1|1|1|1|1|1|1
MUTANT 31|1575ms|1|1|1|1|1|1|1
MUTANT 32|1574ms|1|1|1|1|1|1|1
MUTANT 33|1803ms|1|1|1|1|1|1|1
MUTANT 34|1740ms|1|1|1|1|1|1|1
MUTANT 35|1751ms|1|1|1|1|1|1|1
MUTANT 36|1759ms|1|1|1|1|1|1|1
MUTANT 37|1568ms|1|1|1|1|1|1|1
MUTANT 38|1569ms|1|1|1|1|1|1|1
MUTANT 39|1473ms|1|1|1|1|1|1|1
MUTANT 40|1573ms|1|1|1|1|1|1|1
MUTANT 41|1535ms|1|1|1|1|1|1|1
MUTANT 42|1522ms|1|1|1|1|1|1|1
MUTANT 43|1596ms|1|1|1|1|1|1|1
MUTANT 44|1631ms|1|1|1|1|1|1|1
MUTANT 45|1632ms|1|1|1|1|1|1|1
