mutant-id|timeToExecute|0-passes a basic sanity check|1-allows namespaces to be a non-string value|2-honors global debug namespace enable calls|3-uses custom log function|4-should extend namespace|5-should extend namespace with custom delimiter|6-should extend namespace with empty delimiter
MUTANT 3|1551ms|1|1|1|1|1|1|1
MUTANT 4|1642ms|1|1|1|1|1|1|1
MUTANT 1|1809ms|1|1|1|1|1|1|1
MUTANT 2|1940ms|1|1|1|1|1|1|1
MUTANT 6|1404ms|1|1|1|1|1|1|1
MUTANT 5|1563ms|1|1|1|1|1|1|1
MUTANT 7|1462ms|1|1|1|1|1|1|1
MUTANT 8|1414ms|1|1|1|1|1|1|1
MUTANT 9|1369ms|1|1|1|1|1|1|1
MUTANT 10|1322ms|1|1|1|1|1|1|1
MUTANT 11|1374ms|1|1|1|1|1|1|1
MUTANT 12|1393ms|1|1|1|1|1|1|1
MUTANT 13|1365ms|1|1|1|1|1|1|1
MUTANT 14|1405ms|1|1|1|1|1|1|1
MUTANT 15|1409ms|1|1|1|1|1|1|1
MUTANT 16|1417ms|1|1|1|1|1|1|1
MUTANT 17|1424ms|1|1|1|1|1|1|1
MUTANT 18|1542ms|1|1|1|1|1|1|1
MUTANT 19|1557ms|1|1|1|1|1|1|1
MUTANT 20|1487ms|1|1|1|1|1|1|1
MUTANT 21|1508ms|1|1|1|1|1|1|1
MUTANT 22|1462ms|1|1|1|1|1|1|1
MUTANT 23|1384ms|1|1|1|1|1|1|1
MUTANT 24|1397ms|1|1|1|1|1|1|1
MUTANT 25|1429ms|1|1|1|1|1|1|1
MUTANT 26|1447ms|1|1|1|1|1|1|1
MUTANT 27|1437ms|1|1|1|1|1|1|1
MUTANT 28|1489ms|1|1|1|1|1|1|1
MUTANT 29|1412ms|1|1|1|1|1|1|1
MUTANT 30|1444ms|1|1|1|1|1|1|1
MUTANT 31|1350ms|1|1|1|1|1|1|1
MUTANT 32|1499ms|1|1|1|1|1|1|1
MUTANT 33|1957ms|1|1|1|1|1|1|1
MUTANT 35|1994ms|1|1|1|1|1|1|1
MUTANT 34|2026ms|1|1|1|1|1|1|1
MUTANT 36|2314ms|1|1|1|1|1|1|1
MUTANT 37|2299ms|1|1|1|1|1|1|1
MUTANT 39|2362ms|1|1|1|1|1|1|1
MUTANT 38|2881ms|1|1|1|1|1|1|1
MUTANT 40|2555ms|1|1|1|1|1|1|1
MUTANT 41|2378ms|1|1|1|1|1|1|1
MUTANT 42|2287ms|1|1|1|1|1|1|1
MUTANT 43|2029ms|1|1|1|1|1|1|1
MUTANT 44|1891ms|1|1|1|1|1|1|1
MUTANT 45|1795ms|1|1|1|1|1|1|1
MUTANT 46|2028ms|1|1|1|1|1|1|1
MUTANT 47|1874ms|1|1|1|1|1|1|1
MUTANT 48|1794ms|1|1|1|1|1|1|1
MUTANT 49|1671ms|1|1|1|1|1|1|1
MUTANT 50|1490ms|1|1|1|1|1|1|1
MUTANT 52|1435ms|1|1|1|1|1|1|1
MUTANT 51|1485ms|1|1|1|1|1|1|1
MUTANT 53|1456ms|1|1|1|1|1|1|1
MUTANT 55|1267ms|1|1|1|1|1|1|1
MUTANT 54|1341ms|1|1|1|1|1|1|1
MUTANT 56|1304ms|1|1|1|1|1|1|1
MUTANT 57|1560ms|1|1|1|1|1|1|1
MUTANT 58|1476ms|1|1|1|1|1|1|1
MUTANT 59|1484ms|1|1|1|1|1|1|1
MUTANT 60|1636ms|1|1|1|1|1|1|1
MUTANT 61|1398ms|1|1|1|1|1|1|1
MUTANT 62|1423ms|1|1|1|1|1|1|1
MUTANT 63|1424ms|1|1|1|1|1|1|1
MUTANT 64|1501ms|1|1|1|1|1|1|1
MUTANT 67|1271ms|1|1|1|1|1|1|1
MUTANT 65|1373ms|1|1|1|1|1|1|1
MUTANT 66|1331ms|1|1|1|1|1|1|1
MUTANT 68|1454ms|1|1|1|1|1|1|1
MUTANT 70|1364ms|1|1|1|1|1|1|1
MUTANT 69|1438ms|1|1|1|1|1|1|1
MUTANT 71|1542ms|1|1|1|1|1|1|1
MUTANT 72|1723ms|1|1|1|1|1|1|1
MUTANT 74|1929ms|1|1|1|1|1|1|1
MUTANT 73|2020ms|1|1|1|1|1|1|1
MUTANT 75|1961ms|1|1|1|1|1|1|1
MUTANT 76|2767ms|1|1|1|1|1|1|1
MUTANT 77|2505ms|1|1|1|1|1|1|1
MUTANT 78|2486ms|1|1|1|1|1|1|1
MUTANT 79|3097ms|1|1|1|1|1|1|1
MUTANT 80|2838ms|1|1|1|1|1|1|1
MUTANT 82|2805ms|1|1|1|1|1|1|1
MUTANT 81|3511ms|1|1|1|1|1|1|1
MUTANT 83|2778ms|1|1|1|1|1|1|1
MUTANT 84|2611ms|1|1|1|1|1|1|1
MUTANT 85|2220ms|1|1|1|1|1|1|1
MUTANT 86|2258ms|1|1|1|1|1|1|1
MUTANT 87|2343ms|1|1|1|1|1|1|1
MUTANT 89|2630ms|1|1|1|1|1|1|1
