mutant-id|timeToExecute|0-passes a basic sanity check|1-allows namespaces to be a non-string value|2-honors global debug namespace enable calls|3-uses custom log function|4-should extend namespace|5-should extend namespace with custom delimiter|6-should extend namespace with empty delimiter
MUTANT 1|1686ms|1|1|1|1|1|1|1
MUTANT 4|1682ms|1|1|1|1|1|1|1
MUTANT 2|1817ms|1|1|1|1|1|1|1
MUTANT 3|1937ms|1|1|1|1|1|1|1
MUTANT 6|1446ms|1|1|1|1|1|1|1
MUTANT 5|1544ms|1|1|1|1|1|1|1
MUTANT 7|1483ms|1|1|1|1|1|1|1
MUTANT 8|1481ms|1|1|1|1|1|1|1
MUTANT 9|1385ms|1|1|1|1|1|1|1
MUTANT 10|1413ms|1|1|1|1|1|1|1
MUTANT 11|1388ms|1|1|1|1|1|1|1
MUTANT 12|1457ms|1|1|1|1|1|1|1
MUTANT 13|1369ms|1|1|1|1|1|1|1
MUTANT 14|1449ms|1|1|1|1|1|1|1
MUTANT 15|1428ms|1|1|1|1|1|1|1
MUTANT 16|1434ms|1|1|1|1|1|1|1
MUTANT 17|1720ms|1|1|1|1|1|1|1
MUTANT 19|1597ms|1|1|1|1|1|1|1
MUTANT 18|1636ms|1|1|1|1|1|1|1
MUTANT 20|1565ms|1|1|1|1|1|1|1
MUTANT 21|1376ms|1|1|1|1|1|1|1
MUTANT 22|1417ms|1|1|1|1|1|1|1
MUTANT 23|1423ms|1|1|1|1|1|1|1
MUTANT 24|1443ms|1|1|1|1|1|1|1
MUTANT 25|1468ms|1|1|1|1|1|1|1
MUTANT 27|1434ms|1|1|1|1|1|1|1
MUTANT 26|1481ms|1|1|1|1|1|1|1
MUTANT 28|1433ms|1|1|1|1|1|1|1
MUTANT 29|1398ms|1|1|1|1|1|1|1
MUTANT 31|1370ms|1|1|1|1|1|1|1
MUTANT 30|1414ms|1|1|1|1|1|1|1
MUTANT 32|1509ms|1|1|1|1|1|1|1
MUTANT 33|1632ms|1|1|1|1|1|1|1
MUTANT 35|1553ms|1|1|1|1|1|1|1
MUTANT 34|1580ms|1|1|1|1|1|1|1
MUTANT 36|1661ms|1|1|1|1|1|1|1
MUTANT 37|1441ms|1|1|1|1|1|1|1
MUTANT 39|1398ms|1|1|1|1|1|1|1
MUTANT 38|1421ms|1|1|1|1|1|1|1
MUTANT 40|1502ms|1|1|1|1|1|1|1
MUTANT 42|1335ms|1|1|1|1|1|1|1
MUTANT 41|1395ms|1|1|1|1|1|1|1
MUTANT 43|1426ms|1|1|1|1|1|1|1
MUTANT 44|1412ms|1|1|1|1|1|1|1
MUTANT 45|1366ms|1|1|1|1|1|1|1
MUTANT 46|1414ms|1|1|1|1|1|1|1
MUTANT 47|1409ms|1|1|1|1|1|1|1
MUTANT 48|1496ms|1|1|1|1|1|1|1
MUTANT 49|1580ms|1|1|1|1|1|1|1
MUTANT 50|1519ms|1|1|1|1|1|1|1
MUTANT 51|1573ms|1|1|1|1|1|1|1
MUTANT 52|1525ms|1|1|1|1|1|1|1
MUTANT 53|1466ms|1|1|1|1|1|1|1
MUTANT 54|1432ms|1|1|1|1|1|1|1
MUTANT 55|1351ms|1|1|1|1|1|1|1
MUTANT 56|1520ms|1|1|1|1|1|1|1
MUTANT 58|1333ms|1|1|1|1|1|1|1
MUTANT 57|1352ms|1|1|1|1|1|1|1
MUTANT 59|1348ms|1|1|1|1|1|1|1
MUTANT 60|1429ms|1|1|1|1|1|1|1
MUTANT 62|1346ms|1|1|1|1|1|1|1
MUTANT 61|1363ms|1|1|1|1|1|1|1
MUTANT 63|1334ms|1|1|1|1|1|1|1
MUTANT 64|1588ms|1|1|1|1|1|1|1
MUTANT 66|1449ms|1|1|1|1|1|1|1
MUTANT 67|1464ms|1|1|1|1|1|1|1
MUTANT 65|1560ms|1|1|1|1|1|1|1
MUTANT 68|1444ms|1|1|1|1|1|1|1
MUTANT 70|1382ms|1|1|1|1|1|1|1
MUTANT 69|1462ms|1|1|1|1|1|1|1
MUTANT 71|1413ms|1|1|1|1|1|1|1
MUTANT 72|1414ms|1|1|1|1|1|1|1
MUTANT 74|1353ms|1|1|1|1|1|1|1
MUTANT 73|1432ms|1|1|1|1|1|1|1
MUTANT 75|1514ms|1|1|1|1|1|1|1
