mutant-id|timeToExecute|0-passes a basic sanity check|1-allows namespaces to be a non-string value|2-honors global debug namespace enable calls|3-uses custom log function|4-should extend namespace|5-should extend namespace with custom delimiter|6-should extend namespace with empty delimiter
MUTANT 3|1202ms|1|1|1|1|1|1|1
MUTANT 1|1229ms|1|1|1|1|1|1|1
MUTANT 2|1307ms|1|1|1|1|1|1|1
MUTANT 4|1345ms|1|1|1|1|1|1|1
MUTANT 6|1221ms|1|1|1|1|1|1|1
MUTANT 5|1248ms|1|1|1|1|1|1|1
MUTANT 7|1243ms|1|1|1|1|1|1|1
MUTANT 8|1200ms|1|1|1|1|1|1|1
MUTANT 9|1232ms|1|1|1|1|1|1|1
MUTANT 10|1227ms|1|1|1|1|1|1|1
MUTANT 12|1263ms|1|1|1|1|1|1|1
MUTANT 11|1286ms|1|1|1|1|1|1|1
MUTANT 14|1225ms|1|1|1|1|1|1|1
MUTANT 13|1281ms|1|1|1|1|1|1|1
MUTANT 15|1246ms|1|1|1|1|1|1|1
MUTANT 16|1248ms|1|1|1|1|1|1|1
MUTANT 17|1269ms|1|1|1|1|1|1|1
MUTANT 18|1333ms|1|1|1|1|1|1|1
MUTANT 20|1306ms|1|1|1|1|1|1|1
MUTANT 19|1417ms|1|1|1|1|1|1|1
MUTANT 21|1494ms|1|1|1|1|1|1|1
MUTANT 22|1410ms|1|1|1|1|1|1|1
MUTANT 23|1453ms|1|1|1|1|1|1|1
MUTANT 24|1474ms|1|1|1|1|1|1|1
MUTANT 26|1250ms|1|1|1|1|1|1|1
MUTANT 25|1301ms|1|1|1|1|1|1|1
MUTANT 27|1326ms|1|1|1|1|1|1|1
MUTANT 28|1300ms|1|1|1|1|1|1|1
MUTANT 29|1320ms|1|1|1|1|1|1|1
MUTANT 30|1414ms|1|1|1|1|1|1|1
MUTANT 31|1394ms|1|1|1|1|1|1|1
MUTANT 32|1379ms|1|1|1|1|1|1|1
MUTANT 33|1488ms|1|1|1|1|1|1|1
MUTANT 34|1591ms|1|1|1|1|1|1|1
MUTANT 35|1530ms|1|1|1|1|1|1|1
MUTANT 36|1600ms|1|1|1|1|1|1|1
MUTANT 37|1618ms|1|1|1|1|1|1|1
MUTANT 38|1562ms|1|1|1|1|1|1|1
MUTANT 40|1417ms|1|1|1|1|1|1|1
MUTANT 39|1588ms|1|1|1|1|1|1|1
MUTANT 41|1428ms|1|1|1|1|1|1|1
MUTANT 42|1387ms|1|1|1|1|1|1|1
MUTANT 44|1352ms|1|1|1|1|1|1|1
MUTANT 43|1385ms|1|1|1|1|1|1|1
MUTANT 45|1408ms|1|1|1|1|1|1|1
MUTANT 46|1320ms|1|1|1|1|1|1|1
MUTANT 47|1399ms|1|1|1|1|1|1|1
MUTANT 48|1466ms|1|1|1|1|1|1|1
MUTANT 49|1431ms|1|1|1|1|1|1|1
MUTANT 50|1451ms|1|1|1|1|1|1|1
MUTANT 51|1582ms|1|1|1|1|1|1|1
MUTANT 52|1589ms|1|1|1|1|1|1|1
MUTANT 53|1497ms|1|1|1|1|1|1|1
MUTANT 54|1519ms|1|1|1|1|1|1|1
MUTANT 55|1451ms|1|1|1|1|1|1|1
MUTANT 56|1444ms|1|1|1|1|1|1|1
MUTANT 57|1383ms|1|1|1|1|1|1|1
MUTANT 58|1420ms|1|1|1|1|1|1|1
MUTANT 59|1404ms|1|1|1|1|1|1|1
MUTANT 60|1396ms|1|1|1|1|1|1|1
MUTANT 61|1410ms|1|1|1|1|1|1|1
MUTANT 62|1482ms|1|1|1|1|1|1|1
MUTANT 64|1395ms|1|1|1|1|1|1|1
MUTANT 63|1472ms|1|1|1|1|1|1|1
MUTANT 65|1637ms|1|1|1|1|1|1|1
MUTANT 66|1579ms|1|1|1|1|1|1|1
MUTANT 67|1545ms|1|1|1|1|1|1|1
MUTANT 68|1617ms|1|1|1|1|1|1|1
MUTANT 69|1434ms|1|1|1|1|1|1|1
MUTANT 70|1410ms|1|1|1|1|1|1|1
MUTANT 71|1418ms|1|1|1|1|1|1|1
MUTANT 72|1429ms|1|1|1|1|1|1|1
MUTANT 73|1350ms|1|1|1|1|1|1|1
MUTANT 74|1390ms|1|1|1|1|1|1|1
MUTANT 75|1415ms|1|1|1|1|1|1|1
MUTANT 76|1388ms|1|1|1|1|1|1|1
MUTANT 77|1418ms|1|1|1|1|1|1|1
MUTANT 78|1389ms|1|1|1|1|1|1|1
MUTANT 79|1408ms|1|1|1|1|1|1|1
MUTANT 80|1432ms|1|1|1|1|1|1|1
MUTANT 81|1619ms|1|1|1|1|1|1|1
MUTANT 82|1641ms|1|1|1|1|1|1|1
MUTANT 83|1582ms|1|1|1|1|1|1|1
MUTANT 84|1618ms|1|1|1|1|1|1|1
MUTANT 85|1377ms|1|1|1|1|1|1|1
MUTANT 86|1444ms|1|1|1|1|1|1|1
MUTANT 87|1362ms|1|1|1|1|1|1|1
MUTANT 88|1429ms|1|1|1|1|1|1|1
MUTANT 89|1376ms|1|1|1|1|1|1|1
MUTANT 90|1345ms|1|1|1|1|1|1|1
MUTANT 91|1374ms|1|1|1|1|1|1|1
MUTANT 92|1389ms|1|1|1|1|1|1|1
MUTANT 93|1371ms|1|1|1|1|1|1|1
MUTANT 94|1439ms|1|1|1|1|1|1|1
MUTANT 95|1422ms|1|1|1|1|1|1|1
MUTANT 96|1422ms|1|1|1|1|1|1|1
MUTANT 97|1654ms|1|1|1|1|1|1|1
MUTANT 98|1584ms|1|1|1|1|1|1|1
MUTANT 99|1603ms|1|1|1|1|1|1|1
MUTANT 100|1522ms|1|1|1|1|1|1|1
MUTANT 101|1428ms|1|1|1|1|1|1|1
MUTANT 102|1406ms|1|1|1|1|1|1|1
MUTANT 103|1427ms|1|1|1|1|1|1|1
MUTANT 104|1436ms|1|1|1|1|1|1|1
MUTANT 105|1396ms|1|1|1|1|1|1|1
MUTANT 106|1394ms|1|1|1|1|1|1|1
MUTANT 107|1452ms|1|1|1|1|1|1|1
MUTANT 108|1395ms|1|1|1|1|1|1|1
MUTANT 109|1407ms|1|1|1|1|1|1|1
MUTANT 110|1399ms|1|1|1|1|1|1|1
MUTANT 111|1396ms|1|1|1|1|1|1|1
MUTANT 112|1437ms|1|1|1|1|1|1|1
MUTANT 113|1560ms|1|1|1|1|1|1|1
MUTANT 114|1612ms|1|1|1|1|1|1|1
MUTANT 115|1585ms|1|1|1|1|1|1|1
MUTANT 116|1571ms|1|1|1|1|1|1|1
MUTANT 117|1461ms|1|1|1|1|1|1|1
MUTANT 118|1420ms|1|1|1|1|1|1|1
MUTANT 119|1390ms|1|1|1|1|1|1|1
MUTANT 120|1480ms|1|1|1|1|1|1|1
MUTANT 121|1443ms|1|1|1|1|1|1|1
MUTANT 122|1450ms|1|1|1|1|1|1|1
MUTANT 123|1507ms|1|1|1|1|1|1|1
MUTANT 124|1435ms|1|1|1|1|1|1|1
MUTANT 125|1452ms|1|1|1|1|1|1|1
MUTANT 126|1591ms|1|1|1|1|1|1|1
MUTANT 127|1508ms|1|1|1|1|1|1|1
MUTANT 128|1507ms|1|1|1|1|1|1|1
MUTANT 129|1543ms|1|1|1|1|1|1|1
MUTANT 130|1553ms|1|1|1|1|1|1|1
MUTANT 131|1531ms|1|1|1|1|1|1|1
MUTANT 132|1620ms|1|1|1|1|1|1|1
MUTANT 133|1468ms|1|1|1|1|1|1|1
MUTANT 134|1482ms|1|1|1|1|1|1|1
MUTANT 135|1500ms|1|1|1|1|1|1|1
MUTANT 136|1494ms|1|1|1|1|1|1|1
MUTANT 137|1397ms|1|1|1|1|1|1|1
MUTANT 138|1457ms|1|1|1|1|1|1|1
MUTANT 139|1448ms|1|1|1|1|1|1|1
MUTANT 140|1435ms|1|1|1|1|1|1|1
MUTANT 141|1485ms|1|1|1|1|1|1|1
MUTANT 142|1574ms|1|1|1|1|1|1|1
MUTANT 143|1506ms|1|1|1|1|1|1|1
MUTANT 144|1595ms|1|1|1|1|1|1|1
MUTANT 145|1564ms|1|1|1|1|1|1|1
MUTANT 147|1513ms|1|1|1|1|1|1|1
MUTANT 146|1533ms|1|1|1|1|1|1|1
MUTANT 148|1477ms|1|1|1|1|1|1|1
MUTANT 149|1484ms|1|1|1|1|1|1|1
MUTANT 150|1386ms|1|1|1|1|1|1|1
MUTANT 151|1441ms|1|1|1|1|1|1|1
MUTANT 152|1389ms|1|1|1|1|1|1|1
MUTANT 153|1463ms|1|1|1|1|1|1|1
MUTANT 154|1360ms|1|1|1|1|1|1|1
MUTANT 155|1426ms|1|1|1|1|1|1|1
MUTANT 156|1418ms|1|1|1|1|1|1|1
MUTANT 157|1656ms|1|1|1|1|1|1|1
MUTANT 158|1598ms|1|1|1|1|1|1|1
MUTANT 159|1595ms|1|1|1|1|1|1|1
MUTANT 160|1560ms|1|1|1|1|1|1|1
MUTANT 161|1370ms|1|1|1|1|1|1|1
MUTANT 162|1313ms|1|1|1|1|1|1|1
MUTANT 163|1469ms|1|1|1|1|1|1|1
MUTANT 164|1446ms|1|1|1|1|1|1|1
MUTANT 165|1418ms|1|1|1|1|1|1|1
MUTANT 166|1424ms|1|1|1|1|1|1|1
MUTANT 167|1404ms|1|1|1|1|1|1|1
MUTANT 168|1394ms|1|1|1|1|1|1|1
MUTANT 170|1359ms|1|1|1|1|1|1|1
