mutant-id|timeToExecute|0-passes a basic sanity check|1-allows namespaces to be a non-string value|2-honors global debug namespace enable calls|3-uses custom log function|4-should extend namespace|5-should extend namespace with custom delimiter|6-should extend namespace with empty delimiter
MUTANT 2|1590ms|1|1|1|1|1|1|1
MUTANT 1|1613ms|1|1|1|1|1|1|1
MUTANT 4|1760ms|1|1|1|1|1|1|1
MUTANT 3|1798ms|1|1|1|1|1|1|1
MUTANT 6|1472ms|1|1|1|1|1|1|1
MUTANT 5|1487ms|1|1|1|1|1|1|1
MUTANT 8|1343ms|1|1|1|1|1|1|1
MUTANT 7|1380ms|1|1|1|1|1|1|1
MUTANT 10|1169ms|1|1|1|1|1|1|1
MUTANT 9|1193ms|1|1|1|1|1|1|1
MUTANT 12|1180ms|1|1|1|1|1|1|1
MUTANT 11|1194ms|1|1|1|1|1|1|1
MUTANT 14|1165ms|1|1|1|1|1|1|1
MUTANT 13|1188ms|1|1|1|1|1|1|1
MUTANT 16|1184ms|1|1|1|1|1|1|1
MUTANT 15|1254ms|1|1|1|1|1|1|1
MUTANT 18|1223ms|1|1|1|1|1|1|1
MUTANT 17|1286ms|1|1|1|1|1|1|1
MUTANT 19|1277ms|1|1|1|1|1|1|1
MUTANT 20|1272ms|1|1|1|1|1|1|1
MUTANT 21|1229ms|1|1|1|1|1|1|1
MUTANT 22|1184ms|1|1|1|1|1|1|1
MUTANT 23|1175ms|1|1|1|1|1|1|1
MUTANT 24|1268ms|1|1|1|1|1|1|1
MUTANT 25|1218ms|1|1|1|1|1|1|1
MUTANT 26|1223ms|1|1|1|1|1|1|1
MUTANT 27|1338ms|1|1|1|1|1|1|1
MUTANT 28|1270ms|1|1|1|1|1|1|1
MUTANT 30|1178ms|1|1|1|1|1|1|1
MUTANT 29|1199ms|1|1|1|1|1|1|1
MUTANT 31|1278ms|1|1|1|1|1|1|1
MUTANT 32|1227ms|1|1|1|1|1|1|1
MUTANT 33|1211ms|1|1|1|1|1|1|1
MUTANT 34|1243ms|1|1|1|1|1|1|1
MUTANT 35|1270ms|1|1|1|1|1|1|1
MUTANT 36|1252ms|1|1|1|1|1|1|1
MUTANT 37|1428ms|1|1|1|1|1|1|1
MUTANT 38|1405ms|1|1|1|1|1|1|1
MUTANT 39|1381ms|1|1|1|1|1|1|1
MUTANT 40|1417ms|1|1|1|1|1|1|1
MUTANT 42|1321ms|1|1|1|1|1|1|1
MUTANT 41|1344ms|1|1|1|1|1|1|1
MUTANT 43|1439ms|1|1|1|1|1|1|1
MUTANT 44|1420ms|1|1|1|1|1|1|1
MUTANT 46|1959ms|1|1|1|1|1|1|1
MUTANT 45|1980ms|1|1|1|1|1|1|1
MUTANT 48|1911ms|1|1|1|1|1|1|1
MUTANT 47|1948ms|1|1|1|1|1|1|1
MUTANT 50|1648ms|1|1|1|1|1|1|1
MUTANT 49|1712ms|1|1|1|1|1|1|1
MUTANT 52|1744ms|1|1|1|1|1|1|1
MUTANT 51|1930ms|1|1|1|1|1|1|1
MUTANT 53|1664ms|1|1|1|1|1|1|1
MUTANT 54|1654ms|1|1|1|1|1|1|1
MUTANT 55|1757ms|1|1|1|1|1|1|1
MUTANT 56|1600ms|1|1|1|1|1|1|1
MUTANT 57|1501ms|1|1|1|1|1|1|1
MUTANT 58|1664ms|1|1|1|1|1|1|1
MUTANT 60|1566ms|1|1|1|1|1|1|1
MUTANT 59|1702ms|1|1|1|1|1|1|1
MUTANT 61|1810ms|1|1|1|1|1|1|1
MUTANT 62|2114ms|1|1|1|1|1|1|1
MUTANT 63|1860ms|1|1|1|1|1|1|1
MUTANT 64|1747ms|1|1|1|1|1|1|1
MUTANT 65|1791ms|1|1|1|1|1|1|1
MUTANT 66|1690ms|1|1|1|1|1|1|1
MUTANT 68|1569ms|1|1|1|1|1|1|1
MUTANT 67|1601ms|1|1|1|1|1|1|1
MUTANT 69|1445ms|1|1|1|1|1|1|1
MUTANT 70|1428ms|1|1|1|1|1|1|1
MUTANT 72|1466ms|1|1|1|1|1|1|1
MUTANT 71|1522ms|1|1|1|1|1|1|1
MUTANT 73|1647ms|1|1|1|1|1|1|1
MUTANT 75|1830ms|1|1|1|1|1|1|1
MUTANT 74|2010ms|1|1|1|1|1|1|1
MUTANT 76|1906ms|1|1|1|1|1|1|1
MUTANT 77|1756ms|1|1|1|1|1|1|1
MUTANT 78|1602ms|1|1|1|1|1|1|1
MUTANT 79|1568ms|1|1|1|1|1|1|1
MUTANT 80|1622ms|1|1|1|1|1|1|1
MUTANT 81|1547ms|1|1|1|1|1|1|1
MUTANT 82|1539ms|1|1|1|1|1|1|1
MUTANT 83|1542ms|1|1|1|1|1|1|1
MUTANT 84|1520ms|1|1|1|1|1|1|1
MUTANT 85|1444ms|1|1|1|1|1|1|1
MUTANT 87|1316ms|1|1|1|1|1|1|1
MUTANT 86|1407ms|1|1|1|1|1|1|1
MUTANT 88|1482ms|1|1|1|1|1|1|1
MUTANT 89|1637ms|1|1|1|1|1|1|1
MUTANT 90|1618ms|1|1|1|1|1|1|1
MUTANT 91|1561ms|1|1|1|1|1|1|1
MUTANT 92|1638ms|1|1|1|1|1|1|1
MUTANT 93|1470ms|1|1|1|1|1|1|1
MUTANT 95|1359ms|1|1|1|1|1|1|1
MUTANT 94|1793ms|1|1|1|1|1|1|1
MUTANT 96|1661ms|1|1|1|1|1|1|1
MUTANT 97|1633ms|1|1|1|1|1|1|1
MUTANT 98|1728ms|1|1|1|1|1|1|1
MUTANT 99|1673ms|1|1|1|1|1|1|1
MUTANT 100|1535ms|1|1|1|1|1|1|1
MUTANT 101|1684ms|1|1|1|1|1|1|1
MUTANT 102|1574ms|1|1|1|1|1|1|1
MUTANT 104|1572ms|1|1|1|1|1|1|1
MUTANT 103|1646ms|1|1|1|1|1|1|1
MUTANT 105|1638ms|1|1|1|1|1|1|1
MUTANT 106|1611ms|1|1|1|1|1|1|1
MUTANT 107|1557ms|1|1|1|1|1|1|1
MUTANT 108|1595ms|1|1|1|1|1|1|1
MUTANT 109|1588ms|1|1|1|1|1|1|1
MUTANT 110|1583ms|1|1|1|1|1|1|1
MUTANT 111|1598ms|1|1|1|1|1|1|1
MUTANT 112|1618ms|1|1|1|1|1|1|1
MUTANT 113|1469ms|1|1|1|1|1|1|1
MUTANT 114|1506ms|1|1|1|1|1|1|1
MUTANT 115|1496ms|1|1|1|1|1|1|1
MUTANT 116|1626ms|1|1|1|1|1|1|1
MUTANT 117|1922ms|1|1|1|1|1|1|1
MUTANT 118|1973ms|1|1|1|1|1|1|1
MUTANT 119|1945ms|1|1|1|1|1|1|1
MUTANT 120|1807ms|1|1|1|1|1|1|1
MUTANT 121|1763ms|1|1|1|1|1|1|1
MUTANT 122|1693ms|1|1|1|1|1|1|1
MUTANT 123|1878ms|1|1|1|1|1|1|1
MUTANT 124|1891ms|1|1|1|1|1|1|1
MUTANT 125|1774ms|1|1|1|1|1|1|1
MUTANT 126|1679ms|1|1|1|1|1|1|1
MUTANT 127|1521ms|1|1|1|1|1|1|1
MUTANT 128|1501ms|1|1|1|1|1|1|1
MUTANT 129|1648ms|1|1|1|1|1|1|1
MUTANT 130|1828ms|1|1|1|1|1|1|1
MUTANT 131|1790ms|1|1|1|1|1|1|1
MUTANT 132|1820ms|1|1|1|1|1|1|1
MUTANT 133|1642ms|1|1|1|1|1|1|1
