mutant-id|timeToExecute|0-passes a basic sanity check|1-allows namespaces to be a non-string value|2-honors global debug namespace enable calls|3-uses custom log function|4-should extend namespace|5-should extend namespace with custom delimiter|6-should extend namespace with empty delimiter
MUTANT 4|1236ms|1|1|1|1|1|1|1
MUTANT 3|1281ms|1|1|1|1|1|1|1
MUTANT 1|1409ms|1|1|1|1|1|1|1
MUTANT 2|1507ms|1|1|1|1|1|1|1
MUTANT 5|1375ms|1|1|1|1|1|1|1
MUTANT 6|1403ms|1|1|1|1|1|1|1
MUTANT 7|1385ms|1|1|1|1|1|1|1
MUTANT 8|1379ms|1|1|1|1|1|1|1
MUTANT 9|1244ms|1|1|1|1|1|1|1
MUTANT 10|1314ms|1|1|1|1|1|1|1
MUTANT 11|1317ms|1|1|1|1|1|1|1
MUTANT 12|1295ms|1|1|1|1|1|1|1
MUTANT 13|1312ms|1|1|1|1|1|1|1
MUTANT 14|1307ms|1|1|1|1|1|1|1
MUTANT 16|1255ms|1|1|1|1|1|1|1
MUTANT 15|1334ms|1|1|1|1|1|1|1
MUTANT 17|1464ms|1|1|1|1|1|1|1
MUTANT 18|1421ms|1|1|1|1|1|1|1
MUTANT 19|1428ms|1|1|1|1|1|1|1
MUTANT 20|1498ms|1|1|1|1|1|1|1
MUTANT 21|1615ms|1|1|1|1|1|1|1
MUTANT 22|1618ms|1|1|1|1|1|1|1
MUTANT 23|1616ms|1|1|1|1|1|1|1
MUTANT 24|1664ms|1|1|1|1|1|1|1
MUTANT 25|1430ms|1|1|1|1|1|1|1
MUTANT 26|1456ms|1|1|1|1|1|1|1
MUTANT 27|1515ms|1|1|1|1|1|1|1
MUTANT 28|1471ms|1|1|1|1|1|1|1
MUTANT 29|1432ms|1|1|1|1|1|1|1
MUTANT 30|1364ms|1|1|1|1|1|1|1
MUTANT 31|1431ms|1|1|1|1|1|1|1
MUTANT 32|1393ms|1|1|1|1|1|1|1
MUTANT 34|1403ms|1|1|1|1|1|1|1
MUTANT 33|1453ms|1|1|1|1|1|1|1
MUTANT 36|1545ms|1|1|1|1|1|1|1
MUTANT 35|1619ms|1|1|1|1|1|1|1
MUTANT 38|1551ms|1|1|1|1|1|1|1
MUTANT 37|1572ms|1|1|1|1|1|1|1
MUTANT 40|1430ms|1|1|1|1|1|1|1
MUTANT 39|1622ms|1|1|1|1|1|1|1
MUTANT 41|1360ms|1|1|1|1|1|1|1
MUTANT 42|1371ms|1|1|1|1|1|1|1
MUTANT 43|1404ms|1|1|1|1|1|1|1
MUTANT 44|1429ms|1|1|1|1|1|1|1
MUTANT 45|1305ms|1|1|1|1|1|1|1
MUTANT 46|1339ms|1|1|1|1|1|1|1
MUTANT 47|1347ms|1|1|1|1|1|1|1
MUTANT 48|1418ms|1|1|1|1|1|1|1
MUTANT 49|1397ms|1|1|1|1|1|1|1
MUTANT 50|1422ms|1|1|1|1|1|1|1
MUTANT 51|1496ms|1|1|1|1|1|1|1
MUTANT 52|1614ms|1|1|1|1|1|1|1
MUTANT 53|1538ms|1|1|1|1|1|1|1
MUTANT 54|1544ms|1|1|1|1|1|1|1
MUTANT 55|1581ms|1|1|1|1|1|1|1
MUTANT 56|1449ms|1|1|1|1|1|1|1
MUTANT 57|1408ms|1|1|1|1|1|1|1
MUTANT 58|1417ms|1|1|1|1|1|1|1
MUTANT 59|1390ms|1|1|1|1|1|1|1
MUTANT 60|1407ms|1|1|1|1|1|1|1
MUTANT 61|1325ms|1|1|1|1|1|1|1
MUTANT 62|1423ms|1|1|1|1|1|1|1
MUTANT 63|1432ms|1|1|1|1|1|1|1
MUTANT 64|1418ms|1|1|1|1|1|1|1
MUTANT 65|1420ms|1|1|1|1|1|1|1
MUTANT 66|1487ms|1|1|1|1|1|1|1
MUTANT 67|1394ms|1|1|1|1|1|1|1
MUTANT 68|1415ms|1|1|1|1|1|1|1
MUTANT 69|1448ms|1|1|1|1|1|1|1
MUTANT 70|1450ms|1|1|1|1|1|1|1
MUTANT 71|1411ms|1|1|1|1|1|1|1
MUTANT 72|1441ms|1|1|1|1|1|1|1
MUTANT 73|1416ms|1|1|1|1|1|1|1
MUTANT 74|1399ms|1|1|1|1|1|1|1
MUTANT 75|1414ms|1|1|1|1|1|1|1
MUTANT 76|1370ms|1|1|1|1|1|1|1
MUTANT 77|1376ms|1|1|1|1|1|1|1
MUTANT 78|1411ms|1|1|1|1|1|1|1
MUTANT 79|1403ms|1|1|1|1|1|1|1
MUTANT 80|1388ms|1|1|1|1|1|1|1
MUTANT 81|1407ms|1|1|1|1|1|1|1
MUTANT 82|1386ms|1|1|1|1|1|1|1
MUTANT 83|1396ms|1|1|1|1|1|1|1
MUTANT 84|1466ms|1|1|1|1|1|1|1
MUTANT 85|1485ms|1|1|1|1|1|1|1
MUTANT 86|1488ms|1|1|1|1|1|1|1
MUTANT 87|1417ms|1|1|1|1|1|1|1
MUTANT 88|1444ms|1|1|1|1|1|1|1
MUTANT 89|1438ms|1|1|1|1|1|1|1
MUTANT 90|1376ms|1|1|1|1|1|1|1
MUTANT 91|1410ms|1|1|1|1|1|1|1
MUTANT 92|1403ms|1|1|1|1|1|1|1
MUTANT 93|1444ms|1|1|1|1|1|1|1
MUTANT 94|1364ms|1|1|1|1|1|1|1
MUTANT 95|1384ms|1|1|1|1|1|1|1
MUTANT 96|1352ms|1|1|1|1|1|1|1
MUTANT 97|1387ms|1|1|1|1|1|1|1
MUTANT 98|1385ms|1|1|1|1|1|1|1
MUTANT 99|1364ms|1|1|1|1|1|1|1
MUTANT 100|1442ms|1|1|1|1|1|1|1
MUTANT 101|1386ms|1|1|1|1|1|1|1
MUTANT 102|1405ms|1|1|1|1|1|1|1
MUTANT 103|1365ms|1|1|1|1|1|1|1
MUTANT 104|1389ms|1|1|1|1|1|1|1
MUTANT 105|1393ms|1|1|1|1|1|1|1
MUTANT 106|1392ms|1|1|1|1|1|1|1
MUTANT 107|1368ms|1|1|1|1|1|1|1
MUTANT 108|1423ms|1|1|1|1|1|1|1
MUTANT 109|1436ms|1|1|1|1|1|1|1
MUTANT 110|1381ms|1|1|1|1|1|1|1
MUTANT 111|1393ms|1|1|1|1|1|1|1
MUTANT 112|1386ms|1|1|1|1|1|1|1
MUTANT 113|1405ms|1|1|1|1|1|1|1
MUTANT 114|1443ms|1|1|1|1|1|1|1
MUTANT 115|1392ms|1|1|1|1|1|1|1
MUTANT 116|1364ms|1|1|1|1|1|1|1
MUTANT 117|1374ms|1|1|1|1|1|1|1
MUTANT 118|1384ms|1|1|1|1|1|1|1
MUTANT 119|1408ms|1|1|1|1|1|1|1
MUTANT 120|1414ms|1|1|1|1|1|1|1
MUTANT 121|1428ms|1|1|1|1|1|1|1
MUTANT 122|1411ms|1|1|1|1|1|1|1
MUTANT 123|1393ms|1|1|1|1|1|1|1
MUTANT 124|1412ms|1|1|1|1|1|1|1
MUTANT 125|1393ms|1|1|1|1|1|1|1
MUTANT 126|1419ms|1|1|1|1|1|1|1
MUTANT 127|1409ms|1|1|1|1|1|1|1
MUTANT 128|1368ms|1|1|1|1|1|1|1
