mutant-id|timeToExecute|0-passes a basic sanity check|1-allows namespaces to be a non-string value|2-honors global debug namespace enable calls|3-uses custom log function|4-should extend namespace|5-should extend namespace with custom delimiter|6-should extend namespace with empty delimiter
MUTANT 3|1317ms|1|1|1|1|1|1|1
MUTANT 2|1334ms|1|1|1|1|1|1|1
MUTANT 1|1353ms|1|1|1|1|1|1|1
MUTANT 4|1414ms|1|1|1|1|1|1|1
MUTANT 6|1604ms|1|1|1|1|1|1|1
MUTANT 7|1602ms|1|1|1|1|1|1|1
MUTANT 5|1632ms|1|1|1|1|1|1|1
MUTANT 8|1886ms|1|1|1|1|1|1|1
MUTANT 9|1560ms|1|1|1|1|1|1|1
MUTANT 10|1568ms|1|1|1|1|1|1|1
MUTANT 11|1656ms|1|1|1|1|1|1|1
MUTANT 12|1581ms|1|1|1|1|1|1|1
MUTANT 13|1494ms|1|1|1|1|1|1|1
MUTANT 14|1581ms|1|1|1|1|1|1|1
MUTANT 15|1630ms|1|1|1|1|1|1|1
MUTANT 16|1664ms|1|1|1|1|1|1|1
MUTANT 17|1903ms|1|1|1|1|1|1|1
MUTANT 18|1875ms|1|1|1|1|1|1|1
MUTANT 19|1987ms|1|1|1|1|1|1|1
MUTANT 20|1908ms|1|1|1|1|1|1|1
MUTANT 21|1507ms|1|1|1|1|1|1|1
MUTANT 22|1581ms|1|1|1|1|1|1|1
MUTANT 23|1540ms|1|1|1|1|1|1|1
MUTANT 24|1446ms|1|1|1|1|1|1|1
MUTANT 25|1455ms|1|1|1|1|1|1|1
MUTANT 26|1551ms|1|1|1|1|1|1|1
MUTANT 27|1519ms|1|1|1|1|1|1|1
MUTANT 28|1474ms|1|1|1|1|1|1|1
MUTANT 29|1466ms|1|1|1|1|1|1|1
MUTANT 30|1562ms|1|1|1|1|1|1|1
MUTANT 31|1454ms|1|1|1|1|1|1|1
MUTANT 32|1592ms|1|1|1|1|1|1|1
MUTANT 33|1635ms|1|1|1|1|1|1|1
MUTANT 34|1670ms|1|1|1|1|1|1|1
MUTANT 35|1708ms|1|1|1|1|1|1|1
MUTANT 36|1620ms|1|1|1|1|1|1|1
MUTANT 37|1396ms|1|1|1|1|1|1|1
MUTANT 38|1483ms|1|1|1|1|1|1|1
MUTANT 39|1516ms|1|1|1|1|1|1|1
MUTANT 40|1489ms|1|1|1|1|1|1|1
MUTANT 41|1449ms|1|1|1|1|1|1|1
MUTANT 42|1527ms|1|1|1|1|1|1|1
MUTANT 43|1407ms|1|1|1|1|1|1|1
MUTANT 44|1514ms|1|1|1|1|1|1|1
MUTANT 45|1472ms|1|1|1|1|1|1|1
MUTANT 46|1495ms|1|1|1|1|1|1|1
MUTANT 47|1494ms|1|1|1|1|1|1|1
MUTANT 48|1620ms|1|1|1|1|1|1|1
MUTANT 49|1707ms|1|1|1|1|1|1|1
MUTANT 51|1548ms|1|1|1|1|1|1|1
MUTANT 50|1651ms|1|1|1|1|1|1|1
MUTANT 52|1503ms|1|1|1|1|1|1|1
MUTANT 53|1459ms|1|1|1|1|1|1|1
MUTANT 54|1490ms|1|1|1|1|1|1|1
MUTANT 55|1513ms|1|1|1|1|1|1|1
MUTANT 56|1515ms|1|1|1|1|1|1|1
MUTANT 57|1411ms|1|1|1|1|1|1|1
MUTANT 58|1462ms|1|1|1|1|1|1|1
MUTANT 59|1471ms|1|1|1|1|1|1|1
MUTANT 60|1453ms|1|1|1|1|1|1|1
MUTANT 61|1497ms|1|1|1|1|1|1|1
MUTANT 62|1618ms|1|1|1|1|1|1|1
MUTANT 63|1616ms|1|1|1|1|1|1|1
MUTANT 64|1614ms|1|1|1|1|1|1|1
MUTANT 65|1605ms|1|1|1|1|1|1|1
MUTANT 66|1531ms|1|1|1|1|1|1|1
MUTANT 67|1513ms|1|1|1|1|1|1|1
MUTANT 68|1529ms|1|1|1|1|1|1|1
MUTANT 69|1463ms|1|1|1|1|1|1|1
MUTANT 70|1433ms|1|1|1|1|1|1|1
MUTANT 71|1453ms|1|1|1|1|1|1|1
MUTANT 72|1499ms|1|1|1|1|1|1|1
MUTANT 73|1446ms|1|1|1|1|1|1|1
MUTANT 74|1401ms|1|1|1|1|1|1|1
MUTANT 75|1463ms|1|1|1|1|1|1|1
MUTANT 76|1455ms|1|1|1|1|1|1|1
MUTANT 77|1635ms|1|1|1|1|1|1|1
MUTANT 78|1578ms|1|1|1|1|1|1|1
MUTANT 79|1697ms|1|1|1|1|1|1|1
MUTANT 80|1665ms|1|1|1|1|1|1|1
MUTANT 81|1486ms|1|1|1|1|1|1|1
MUTANT 82|1420ms|1|1|1|1|1|1|1
MUTANT 83|1465ms|1|1|1|1|1|1|1
MUTANT 84|1495ms|1|1|1|1|1|1|1
MUTANT 85|1459ms|1|1|1|1|1|1|1
MUTANT 86|1466ms|1|1|1|1|1|1|1
MUTANT 87|1448ms|1|1|1|1|1|1|1
MUTANT 88|1418ms|1|1|1|1|1|1|1
MUTANT 89|1416ms|1|1|1|1|1|1|1
MUTANT 90|1444ms|1|1|1|1|1|1|1
MUTANT 91|1687ms|1|1|1|1|1|1|1
MUTANT 92|1896ms|1|1|1|1|1|1|1
MUTANT 93|1985ms|1|1|1|1|1|1|1
MUTANT 94|2092ms|1|1|1|1|1|1|1
MUTANT 95|1887ms|1|1|1|1|1|1|1
MUTANT 96|1902ms|1|1|1|1|1|1|1
MUTANT 97|1659ms|1|1|1|1|1|1|1
MUTANT 98|1691ms|1|1|1|1|1|1|1
MUTANT 99|1722ms|1|1|1|1|1|1|1
MUTANT 100|1734ms|1|1|1|1|1|1|1
MUTANT 101|1755ms|1|1|1|1|1|1|1
MUTANT 102|1750ms|1|1|1|1|1|1|1
MUTANT 103|1700ms|1|1|1|1|1|1|1
MUTANT 104|1732ms|1|1|1|1|1|1|1
MUTANT 105|1909ms|1|1|1|1|1|1|1
MUTANT 106|1904ms|1|1|1|1|1|1|1
MUTANT 107|1728ms|1|1|1|1|1|1|1
MUTANT 108|1670ms|1|1|1|1|1|1|1
MUTANT 109|1476ms|1|1|1|1|1|1|1
MUTANT 110|1464ms|1|1|1|1|1|1|1
MUTANT 111|1482ms|1|1|1|1|1|1|1
MUTANT 112|1530ms|1|1|1|1|1|1|1
MUTANT 113|1466ms|1|1|1|1|1|1|1
MUTANT 114|1502ms|1|1|1|1|1|1|1
MUTANT 115|1440ms|1|1|1|1|1|1|1
MUTANT 116|1453ms|1|1|1|1|1|1|1
MUTANT 117|1497ms|1|1|1|1|1|1|1
MUTANT 118|1549ms|1|1|1|1|1|1|1
MUTANT 119|1597ms|1|1|1|1|1|1|1
MUTANT 120|1587ms|1|1|1|1|1|1|1
MUTANT 121|1608ms|1|1|1|1|1|1|1
MUTANT 122|1594ms|1|1|1|1|1|1|1
MUTANT 123|1632ms|1|1|1|1|1|1|1
MUTANT 124|1545ms|1|1|1|1|1|1|1
MUTANT 125|1512ms|1|1|1|1|1|1|1
MUTANT 126|1547ms|1|1|1|1|1|1|1
MUTANT 127|1617ms|1|1|1|1|1|1|1
MUTANT 128|1579ms|1|1|1|1|1|1|1
MUTANT 129|1586ms|1|1|1|1|1|1|1
MUTANT 130|1491ms|1|1|1|1|1|1|1
MUTANT 131|1472ms|1|1|1|1|1|1|1
MUTANT 132|1444ms|1|1|1|1|1|1|1
MUTANT 133|1561ms|1|1|1|1|1|1|1
MUTANT 134|1733ms|1|1|1|1|1|1|1
MUTANT 135|1643ms|1|1|1|1|1|1|1
MUTANT 136|1647ms|1|1|1|1|1|1|1
MUTANT 137|1631ms|1|1|1|1|1|1|1
MUTANT 138|1502ms|1|1|1|1|1|1|1
MUTANT 139|1470ms|1|1|1|1|1|1|1
MUTANT 140|1478ms|1|1|1|1|1|1|1
MUTANT 141|1441ms|1|1|1|1|1|1|1
MUTANT 142|1446ms|1|1|1|1|1|1|1
MUTANT 143|1532ms|1|1|1|1|1|1|1
MUTANT 144|1568ms|1|1|1|1|1|1|1
MUTANT 145|1554ms|1|1|1|1|1|1|1
MUTANT 146|1551ms|1|1|1|1|1|1|1
MUTANT 147|1609ms|1|1|1|1|1|1|1
MUTANT 148|1550ms|1|1|1|1|1|1|1
MUTANT 149|1621ms|1|1|1|1|1|1|1
MUTANT 150|1612ms|1|1|1|1|1|1|1
MUTANT 151|1744ms|1|1|1|1|1|1|1
MUTANT 152|1713ms|1|1|1|1|1|1|1
MUTANT 153|1510ms|1|1|1|1|1|1|1
MUTANT 154|1500ms|1|1|1|1|1|1|1
MUTANT 155|1512ms|1|1|1|1|1|1|1
MUTANT 156|1493ms|1|1|1|1|1|1|1
MUTANT 157|1499ms|1|1|1|1|1|1|1
MUTANT 158|1468ms|1|1|1|1|1|1|1
MUTANT 159|1456ms|1|1|1|1|1|1|1
MUTANT 160|1519ms|1|1|1|1|1|1|1
MUTANT 161|1506ms|1|1|1|1|1|1|1
MUTANT 162|1566ms|1|1|1|1|1|1|1
MUTANT 163|1671ms|1|1|1|1|1|1|1
MUTANT 164|1722ms|1|1|1|1|1|1|1
MUTANT 165|1603ms|1|1|1|1|1|1|1
MUTANT 166|1744ms|1|1|1|1|1|1|1
MUTANT 167|1567ms|1|1|1|1|1|1|1
MUTANT 168|1530ms|1|1|1|1|1|1|1
MUTANT 169|1518ms|1|1|1|1|1|1|1
MUTANT 170|1520ms|1|1|1|1|1|1|1
MUTANT 171|1487ms|1|1|1|1|1|1|1
MUTANT 172|1486ms|1|1|1|1|1|1|1
MUTANT 173|1567ms|1|1|1|1|1|1|1
MUTANT 174|1625ms|1|1|1|1|1|1|1
MUTANT 175|1565ms|1|1|1|1|1|1|1
MUTANT 176|1610ms|1|1|1|1|1|1|1
MUTANT 177|1737ms|1|1|1|1|1|1|1
MUTANT 178|1810ms|1|1|1|1|1|1|1
MUTANT 179|1643ms|1|1|1|1|1|1|1
MUTANT 180|1653ms|1|1|1|1|1|1|1
MUTANT 181|1644ms|1|1|1|1|1|1|1
MUTANT 182|1470ms|1|1|1|1|1|1|1
MUTANT 183|1527ms|1|1|1|1|1|1|1
MUTANT 184|1395ms|1|1|1|1|1|1|1
MUTANT 185|1453ms|1|1|1|1|1|1|1
MUTANT 186|1588ms|1|1|1|1|1|1|1
MUTANT 187|1520ms|1|1|1|1|1|1|1
MUTANT 188|1530ms|1|1|1|1|1|1|1
MUTANT 189|1521ms|1|1|1|1|1|1|1
MUTANT 190|1482ms|1|1|1|1|1|1|1
MUTANT 191|1627ms|1|1|1|1|1|1|1
MUTANT 192|1627ms|1|1|1|1|1|1|1
MUTANT 193|1624ms|1|1|1|1|1|1|1
MUTANT 194|1681ms|1|1|1|1|1|1|1
MUTANT 195|1548ms|1|1|1|1|1|1|1
MUTANT 196|1543ms|1|1|1|1|1|1|1
