mutant-id|timeToExecute|0-passes a basic sanity check|1-allows namespaces to be a non-string value|2-honors global debug namespace enable calls|3-uses custom log function|4-should extend namespace|5-should extend namespace with custom delimiter|6-should extend namespace with empty delimiter
MUTANT 1|1725ms|1|1|1|1|1|1|1
MUTANT 3|1693ms|1|1|1|1|1|1|1
MUTANT 2|1753ms|1|1|1|1|1|1|1
MUTANT 4|1897ms|1|1|1|1|1|1|1
MUTANT 7|1327ms|1|1|1|1|1|1|1
MUTANT 5|1441ms|1|1|1|1|1|1|1
MUTANT 6|1446ms|1|1|1|1|1|1|1
MUTANT 8|1497ms|1|1|1|1|1|1|1
MUTANT 9|1444ms|1|1|1|1|1|1|1
MUTANT 10|1422ms|1|1|1|1|1|1|1
MUTANT 11|1431ms|1|1|1|1|1|1|1
MUTANT 12|1612ms|1|1|1|1|1|1|1
MUTANT 13|1393ms|1|1|1|1|1|1|1
MUTANT 15|1352ms|1|1|1|1|1|1|1
MUTANT 14|1382ms|1|1|1|1|1|1|1
MUTANT 16|1440ms|1|1|1|1|1|1|1
MUTANT 18|1356ms|1|1|1|1|1|1|1
MUTANT 17|1424ms|1|1|1|1|1|1|1
MUTANT 19|1498ms|1|1|1|1|1|1|1
MUTANT 20|1436ms|1|1|1|1|1|1|1
MUTANT 21|1436ms|1|1|1|1|1|1|1
MUTANT 22|1394ms|1|1|1|1|1|1|1
MUTANT 23|1487ms|1|1|1|1|1|1|1
MUTANT 24|1407ms|1|1|1|1|1|1|1
MUTANT 25|1382ms|1|1|1|1|1|1|1
MUTANT 26|1383ms|1|1|1|1|1|1|1
MUTANT 27|1463ms|1|1|1|1|1|1|1
MUTANT 28|1482ms|1|1|1|1|1|1|1
MUTANT 30|1406ms|1|1|1|1|1|1|1
MUTANT 29|1497ms|1|1|1|1|1|1|1
MUTANT 31|1482ms|1|1|1|1|1|1|1
MUTANT 32|1492ms|1|1|1|1|1|1|1
MUTANT 33|1449ms|1|1|1|1|1|1|1
MUTANT 34|1433ms|1|1|1|1|1|1|1
MUTANT 35|1453ms|1|1|1|1|1|1|1
MUTANT 36|1416ms|1|1|1|1|1|1|1
MUTANT 37|1414ms|1|1|1|1|1|1|1
MUTANT 38|1410ms|1|1|1|1|1|1|1
MUTANT 39|1444ms|1|1|1|1|1|1|1
MUTANT 40|1459ms|1|1|1|1|1|1|1
MUTANT 42|1385ms|1|1|1|1|1|1|1
MUTANT 41|1448ms|1|1|1|1|1|1|1
MUTANT 43|1412ms|1|1|1|1|1|1|1
MUTANT 44|1426ms|1|1|1|1|1|1|1
MUTANT 45|1370ms|1|1|1|1|1|1|1
MUTANT 46|1388ms|1|1|1|1|1|1|1
MUTANT 47|1398ms|1|1|1|1|1|1|1
MUTANT 48|1489ms|1|1|1|1|1|1|1
MUTANT 50|1328ms|1|1|1|1|1|1|1
MUTANT 49|1383ms|1|1|1|1|1|1|1
MUTANT 51|1472ms|1|1|1|1|1|1|1
MUTANT 52|1441ms|1|1|1|1|1|1|1
MUTANT 53|1450ms|1|1|1|1|1|1|1
MUTANT 54|1430ms|1|1|1|1|1|1|1
MUTANT 55|1398ms|1|1|1|1|1|1|1
MUTANT 56|1461ms|1|1|1|1|1|1|1
MUTANT 58|1341ms|1|1|1|1|1|1|1
MUTANT 57|1407ms|1|1|1|1|1|1|1
MUTANT 59|1372ms|1|1|1|1|1|1|1
MUTANT 60|1479ms|1|1|1|1|1|1|1
MUTANT 61|1374ms|1|1|1|1|1|1|1
MUTANT 62|1375ms|1|1|1|1|1|1|1
MUTANT 63|1404ms|1|1|1|1|1|1|1
MUTANT 64|1409ms|1|1|1|1|1|1|1
MUTANT 65|1390ms|1|1|1|1|1|1|1
MUTANT 66|1447ms|1|1|1|1|1|1|1
MUTANT 67|1430ms|1|1|1|1|1|1|1
MUTANT 68|1463ms|1|1|1|1|1|1|1
MUTANT 69|1410ms|1|1|1|1|1|1|1
MUTANT 70|1412ms|1|1|1|1|1|1|1
MUTANT 71|1422ms|1|1|1|1|1|1|1
MUTANT 72|1513ms|1|1|1|1|1|1|1
MUTANT 73|1452ms|1|1|1|1|1|1|1
MUTANT 74|1472ms|1|1|1|1|1|1|1
MUTANT 75|1415ms|1|1|1|1|1|1|1
MUTANT 76|1480ms|1|1|1|1|1|1|1
MUTANT 77|1467ms|1|1|1|1|1|1|1
MUTANT 78|1447ms|1|1|1|1|1|1|1
MUTANT 79|1436ms|1|1|1|1|1|1|1
MUTANT 80|1393ms|1|1|1|1|1|1|1
MUTANT 81|1452ms|1|1|1|1|1|1|1
MUTANT 82|1375ms|1|1|1|1|1|1|1
MUTANT 83|1485ms|1|1|1|1|1|1|1
MUTANT 84|1483ms|1|1|1|1|1|1|1
MUTANT 85|1355ms|1|1|1|1|1|1|1
MUTANT 86|1367ms|1|1|1|1|1|1|1
MUTANT 87|1456ms|1|1|1|1|1|1|1
MUTANT 88|1398ms|1|1|1|1|1|1|1
MUTANT 89|1397ms|1|1|1|1|1|1|1
MUTANT 90|1440ms|1|1|1|1|1|1|1
MUTANT 91|1389ms|1|1|1|1|1|1|1
MUTANT 92|1539ms|1|1|1|1|1|1|1
MUTANT 93|1548ms|1|1|1|1|1|1|1
MUTANT 94|1580ms|1|1|1|1|1|1|1
MUTANT 95|1582ms|1|1|1|1|1|1|1
MUTANT 96|1451ms|1|1|1|1|1|1|1
MUTANT 97|1455ms|1|1|1|1|1|1|1
MUTANT 98|1417ms|1|1|1|1|1|1|1
MUTANT 99|1685ms|1|1|1|1|1|1|1
